Sex,Age,Education,Food,MeanConsumption_total,5PercentileConsumption,50PercentileConsuption,95PercentileConsumption,ConsumptionDays,MeanConsumptiononConsumptionDays,5percentileConsumptiondays,50percentileConsumptiondays,95percentileConsumptiondays
Male,1 to 18 years,Education: intermediate,0508. Ice cream,16.5,0.0,0.0,82.0,20.0,83.6,36.0,70.0,200.0
Female,1 to 18 years,Education: intermediate,0508. Ice cream,15.7,0.0,0.0,80.0,19.4,80.6,30.0,64.0,183.0
Total male and female,19 to 79 years,Education: intermediate,0508. Ice cream,8.1,0.0,0.0,53.5,10.0,83.1,32.0,75.0,167.0
Male,19 to 79 years,Education: intermediate,0508. Ice cream,10.0,0.0,0.0,64.0,10.8,94.5,32.0,86.0,180.0
Female,19 to 79 years,Education: intermediate,0508. Ice cream,6.1,0.0,0.0,42.5,9.1,68.6,32.0,64.0,128.0
Total male and female,1 to 18 years,Education: higher,0508. Ice cream,13.5,0.0,0.0,62.5,17.9,75.5,32.0,55.0,150.0
Male,1 to 18 years,Education: higher,0508. Ice cream,12.6,0.0,0.0,62.5,17.5,72.1,35.0,55.0,150.0
Female,1 to 18 years,Education: higher,0508. Ice cream,14.4,0.0,0.0,75.0,18.2,79.1,30.0,55.0,200.0
Total male and female,19 to 79 years,Education: higher,0508. Ice cream,8.9,0.0,0.0,58.3,10.8,83.1,32.0,75.0,150.0
Male,19 to 79 years,Education: higher,0508. Ice cream,10.4,0.0,0.0,75.0,12.0,88.0,32.0,75.0,150.0
Female,19 to 79 years,Education: higher,0508. Ice cream,7.3,0.0,0.0,50.0,9.5,76.6,25.0,75.0,150.0
Total male and female,1 to 18 years,Education: lower,050800. Combined Icecream and sorbet,0.4,0.0,0.0,0.0,0.6,61.6,49.0,70.0,70.0
Male,1 to 18 years,Education: lower,050800. Combined Icecream and sorbet,0.5,0.0,0.0,0.0,0.6,70.0,70.0,70.0,70.0
Female,1 to 18 years,Education: lower,050800. Combined Icecream and sorbet,0.2,0.0,0.0,0.0,0.5,49.0,49.0,49.0,49.0
Total male and female,19 to 79 years,Education: lower,050800. Combined Icecream and sorbet,0.1,0.0,0.0,0.0,0.1,58.6,40.0,65.0,65.0
Male,19 to 79 years,Education: lower,050800. Combined Icecream and sorbet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,19 to 79 years,Education: lower,050800. Combined Icecream and sorbet,0.1,0.0,0.0,0.0,0.2,58.6,40.0,65.0,65.0
Total male and female,1 to 18 years,Education: intermediate,050800. Combined Icecream and sorbet,0.3,0.0,0.0,0.0,0.5,59.9,30.0,65.0,70.0
Male,1 to 18 years,Education: intermediate,050800. Combined Icecream and sorbet,0.2,0.0,0.0,0.0,0.3,65.0,65.0,65.0,65.0
Female,1 to 18 years,Education: intermediate,050800. Combined Icecream and sorbet,0.4,0.0,0.0,0.0,0.7,57.8,30.0,65.0,70.0
Total male and female,19 to 79 years,Education: intermediate,050800. Combined Icecream and sorbet,0.2,0.0,0.0,0.0,0.2,104.2,65.0,125.0,130.0
Male,19 to 79 years,Education: intermediate,050800. Combined Icecream and sorbet,0.3,0.0,0.0,0.0,0.2,128.4,125.0,130.0,130.0
Female,19 to 79 years,Education: intermediate,050800. Combined Icecream and sorbet,0.1,0.0,0.0,0.0,0.2,65.0,65.0,65.0,65.0
Total male and female,1 to 18 years,Education: higher,050800. Combined Icecream and sorbet,0.4,0.0,0.0,0.0,0.6,63.6,40.0,65.0,70.0
Male,1 to 18 years,Education: higher,050800. Combined Icecream and sorbet,0.2,0.0,0.0,0.0,0.4,65.0,65.0,65.0,65.0
Female,1 to 18 years,Education: higher,050800. Combined Icecream and sorbet,0.5,0.0,0.0,0.0,0.8,62.9,40.0,70.0,70.0
Total male and female,19 to 79 years,Education: higher,050800. Combined Icecream and sorbet,0.2,0.0,0.0,0.0,0.4,60.7,40.0,49.0,100.0
Male,19 to 79 years,Education: higher,050800. Combined Icecream and sorbet,0.2,0.0,0.0,0.0,0.2,98.4,94.0,100.0,100.0
Female,19 to 79 years,Education: higher,050800. Combined Icecream and sorbet,0.2,0.0,0.0,0.0,0.5,42.5,40.0,40.0,49.0
Total male and female,1 to 18 years,Education: lower,050801. Milkbased Icecream,13.9,0.0,0.0,85.0,14.1,97.8,25.0,83.3,197.8
Male,1 to 18 years,Education: lower,050801. Milkbased Icecream,14.7,0.0,0.0,98.9,13.1,111.5,25.0,86.0,250.0
Female,1 to 18 years,Education: lower,050801. Milkbased Icecream,13.0,0.0,0.0,50.0,15.1,85.2,50.0,75.0,130.0
Total male and female,19 to 79 years,Education: lower,050801. Milkbased Icecream,7.7,0.0,0.0,59.5,8.0,99.5,47.7,96.0,180.0
Male,19 to 79 years,Education: lower,050801. Milkbased Icecream,8.6,0.0,0.0,50.0,8.8,102.9,50.0,96.0,200.0
Female,19 to 79 years,Education: lower,050801. Milkbased Icecream,7.0,0.0,0.0,60.0,7.4,96.2,39.0,96.0,150.0
Total male and female,1 to 18 years,Education: intermediate,050801. Milkbased Icecream,10.8,0.0,0.0,68.0,13.1,83.6,32.0,75.0,180.0
Male,1 to 18 years,Education: intermediate,050801. Milkbased Icecream,11.4,0.0,0.0,69.5,14.0,83.5,36.0,75.0,177.8
Female,1 to 18 years,Education: intermediate,050801. Milkbased Icecream,10.2,0.0,0.0,65.0,12.1,83.8,25.0,75.0,183.0
Total male and female,19 to 79 years,Education: intermediate,050801. Milkbased Icecream,6.7,0.0,0.0,50.0,8.1,83.9,32.0,75.0,165.0
Male,19 to 79 years,Education: intermediate,050801. Milkbased Icecream,8.4,0.0,0.0,62.2,9.2,93.1,32.0,86.0,183.0
Female,19 to 79 years,Education: intermediate,050801. Milkbased Icecream,4.8,0.0,0.0,37.5,7.0,70.9,26.4,70.0,144.0
Total male and female,1 to 18 years,Education: higher,050801. Milkbased Icecream,7.5,0.0,0.0,50.0,10.0,74.8,27.5,65.0,150.0
Male,1 to 18 years,Education: higher,050801. Milkbased Icecream,7.3,0.0,0.0,50.0,10.2,72.7,32.0,66.0,150.0
Female,1 to 18 years,Education: higher,050801. Milkbased Icecream,7.6,0.0,0.0,49.0,9.9,77.0,23.3,64.0,185.0
Total male and female,19 to 79 years,Education: higher,050801. Milkbased Icecream,8.0,0.0,0.0,56.3,9.5,84.1,25.0,75.0,150.0
Male,19 to 79 years,Education: higher,050801. Milkbased Icecream,9.1,0.0,0.0,70.0,10.3,89.7,32.0,75.0,150.0
Female,19 to 79 years,Education: higher,050801. Milkbased Icecream,6.7,0.0,0.0,50.0,8.7,77.0,25.0,75.0,150.0
Total male and female,1 to 18 years,Education: lower,050802. Ice cream substitutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Male,1 to 18 years,Education: lower,050802. Ice cream substitutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,1 to 18 years,Education: lower,050802. Ice cream substitutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,19 to 79 years,Education: lower,050802. Ice cream substitutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Male,19 to 79 years,Education: lower,050802. Ice cream substitutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,19 to 79 years,Education: lower,050802. Ice cream substitutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,1 to 18 years,Education: intermediate,050802. Ice cream substitutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Male,1 to 18 years,Education: intermediate,050802. Ice cream substitutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,1 to 18 years,Education: intermediate,050802. Ice cream substitutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,19 to 79 years,Education: intermediate,050802. Ice cream substitutes,0.1,0.0,0.0,0.0,0.1,80.0,80.0,80.0,80.0
Male,19 to 79 years,Education: intermediate,050802. Ice cream substitutes,0.1,0.0,0.0,0.0,0.1,80.0,80.0,80.0,80.0
Female,19 to 79 years,Education: intermediate,050802. Ice cream substitutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,1 to 18 years,Education: higher,050802. Ice cream substitutes,0.1,0.0,0.0,0.0,0.1,100.0,100.0,100.0,100.0
Male,1 to 18 years,Education: higher,050802. Ice cream substitutes,0.1,0.0,0.0,0.0,0.1,100.0,100.0,100.0,100.0
Female,1 to 18 years,Education: higher,050802. Ice cream substitutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,19 to 79 years,Education: higher,050802. Ice cream substitutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Male,19 to 79 years,Education: higher,050802. Ice cream substitutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,19 to 79 years,Education: higher,050802. Ice cream substitutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,1 to 18 years,Education: lower,050803. Sorbet/water ice,5.3,0.0,0.0,41.3,8.7,62.9,32.6,55.0,130.0
Male,1 to 18 years,Education: lower,050803. Sorbet/water ice,4.2,0.0,0.0,40.0,7.2,62.5,32.6,55.0,130.0
Female,1 to 18 years,Education: lower,050803. Sorbet/water ice,6.5,0.0,0.0,42.5,10.3,63.2,27.5,55.0,110.0
Total male and female,19 to 79 years,Education: lower,050803. Sorbet/water ice,0.2,0.0,0.0,0.0,0.4,52.0,50.0,50.0,55.0
Male,19 to 79 years,Education: lower,050803. Sorbet/water ice,0.4,0.0,0.0,0.0,0.7,52.3,50.0,50.0,55.0
Female,19 to 79 years,Education: lower,050803. Sorbet/water ice,0.0,0.0,0.0,0.0,0.1,50.0,50.0,50.0,50.0
Total male and female,1 to 18 years,Education: intermediate,050803. Sorbet/water ice,5.0,0.0,0.0,27.5,7.3,68.4,35.0,55.0,114.0
Male,1 to 18 years,Education: intermediate,050803. Sorbet/water ice,4.9,0.0,0.0,27.5,6.3,77.2,35.0,55.0,153.0
Female,1 to 18 years,Education: intermediate,050803. Sorbet/water ice,5.1,0.0,0.0,32.0,8.3,61.4,30.0,55.0,110.0
Total male and female,19 to 79 years,Education: intermediate,050803. Sorbet/water ice,1.2,0.0,0.0,0.0,1.8,65.3,32.0,55.0,168.3
Male,19 to 79 years,Education: intermediate,050803. Sorbet/water ice,1.2,0.0,0.0,0.0,1.7,70.1,32.0,55.0,168.3
Female,19 to 79 years,Education: intermediate,050803. Sorbet/water ice,1.2,0.0,0.0,0.0,2.0,60.9,32.0,50.0,110.0
Total male and female,1 to 18 years,Education: higher,050803. Sorbet/water ice,5.6,0.0,0.0,27.5,7.9,70.1,32.0,55.0,192.0
Male,1 to 18 years,Education: higher,050803. Sorbet/water ice,4.9,0.0,0.0,31.0,7.5,64.5,35.0,55.0,110.0
Female,1 to 18 years,Education: higher,050803. Sorbet/water ice,6.3,0.0,0.0,27.5,8.4,75.4,27.5,55.0,210.0
Total male and female,19 to 79 years,Education: higher,050803. Sorbet/water ice,0.8,0.0,0.0,0.0,1.2,63.5,50.0,55.0,100.0
Male,19 to 79 years,Education: higher,050803. Sorbet/water ice,1.1,0.0,0.0,0.0,1.6,66.2,50.0,55.0,96.0
Female,19 to 79 years,Education: higher,050803. Sorbet/water ice,0.4,0.0,0.0,0.0,0.7,56.7,50.0,50.0,100.0
Total male and female,1 to 18 years,Education: lower,06. Cereals and cereal products,162.1,57.5,146.1,334.2,98.9,164.5,45.0,140.0,402.0
Male,1 to 18 years,Education: lower,06. Cereals and cereal products,167.4,57.5,146.1,367.2,99.4,169.4,42.0,140.0,427.5
Female,1 to 18 years,Education: lower,06. Cereals and cereal products,156.5,48.8,149.5,302.5,98.3,159.2,46.7,135.0,321.5
Total male and female,19 to 79 years,Education: lower,06. Cereals and cereal products,186.0,65.0,167.5,365.0,97.9,189.9,53.0,160.0,415.0
Male,19 to 79 years,Education: lower,06. Cereals and cereal products,217.7,65.0,196.6,392.5,97.1,225.1,60.0,194.2,500.0
Female,19 to 79 years,Education: lower,06. Cereals and cereal products,159.8,66.6,149.0,286.8,98.6,161.4,50.0,140.0,323.3
Total male and female,1 to 18 years,Education: intermediate,06. Cereals and cereal products,168.2,59.5,153.0,330.0,99.3,169.4,45.0,144.0,370.0
Male,1 to 18 years,Education: intermediate,06. Cereals and cereal products,185.8,65.0,164.1,361.3,99.3,187.0,52.7,158.1,425.3
Female,1 to 18 years,Education: intermediate,06. Cereals and cereal products,149.5,58.5,140.0,274.0,99.3,150.8,35.0,138.0,300.0
Total male and female,19 to 79 years,Education: intermediate,06. Cereals and cereal products,201.8,70.0,190.0,380.6,97.9,205.8,56.0,180.0,417.1
Male,19 to 79 years,Education: intermediate,06. Cereals and cereal products,233.4,87.5,222.0,414.5,98.4,237.2,60.0,210.0,483.0
Female,19 to 79 years,Education: intermediate,06. Cereals and cereal products,167.9,57.5,163.3,301.4,97.4,171.7,42.6,151.8,355.0
Total male and female,1 to 18 years,Education: higher,06. Cereals and cereal products,171.5,67.6,157.4,321.5,99.4,172.4,52.5,149.2,363.5
Male,1 to 18 years,Education: higher,06. Cereals and cereal products,185.4,73.9,173.5,345.8,99.5,186.0,63.6,165.0,385.0
Female,1 to 18 years,Education: higher,06. Cereals and cereal products,156.9,58.5,145.0,293.7,99.3,158.0,45.0,140.0,340.0
Total male and female,19 to 79 years,Education: higher,06. Cereals and cereal products,211.7,61.9,195.0,407.5,96.7,219.2,64.0,190.0,468.2
Male,19 to 79 years,Education: higher,06. Cereals and cereal products,246.5,85.5,230.0,440.5,97.6,253.0,80.0,224.3,490.0
Female,19 to 79 years,Education: higher,06. Cereals and cereal products,174.7,49.6,166.7,331.5,95.7,182.4,50.0,161.0,359.0
Total male and female,1 to 18 years,Education: lower,0601. Flour,1.7,0.0,0.0,7.2,6.1,29.6,1.7,10.7,104.3
Male,1 to 18 years,Education: lower,0601. Flour,2.4,0.0,0.0,13.7,6.0,42.8,1.1,22.7,250.0
Female,1 to 18 years,Education: lower,0601. Flour,1.0,0.0,0.0,4.9,6.3,16.2,3.6,9.9,50.6
Total male and female,19 to 79 years,Education: lower,0601. Flour,1.6,0.0,0.0,6.1,10.5,14.9,0.7,6.1,63.7
Male,19 to 79 years,Education: lower,0601. Flour,1.3,0.0,0.0,4.4,9.9,12.7,0.6,5.3,38.0
Female,19 to 79 years,Education: lower,0601. Flour,1.8,0.0,0.0,12.1,11.1,16.5,1.1,6.7,63.7
Total male and female,1 to 18 years,Education: intermediate,0601. Flour,2.4,0.0,0.0,17.3,8.4,28.2,1.1,15.8,100.0
Male,1 to 18 years,Education: intermediate,0601. Flour,2.7,0.0,0.0,19.0,8.6,31.2,1.1,19.0,101.8
Female,1 to 18 years,Education: intermediate,0601. Flour,2.1,0.0,0.0,15.8,8.2,24.8,0.5,14.3,90.2
Total male and female,19 to 79 years,Education: intermediate,0601. Flour,1.9,0.0,0.0,13.1,7.4,25.7,0.6,9.2,94.9
Male,19 to 79 years,Education: intermediate,0601. Flour,2.2,0.0,0.0,15.8,7.7,30.0,1.0,11.6,119.0
Female,19 to 79 years,Education: intermediate,0601. Flour,1.5,0.0,0.0,6.3,7.1,20.6,0.6,8.5,81.8
Total male and female,1 to 18 years,Education: higher,0601. Flour,3.1,0.0,0.0,24.1,10.9,28.5,1.0,19.0,83.3
Male,1 to 18 years,Education: higher,0601. Flour,3.2,0.0,0.0,23.7,10.5,30.8,1.1,21.2,94.9
Female,1 to 18 years,Education: higher,0601. Flour,3.0,0.0,0.0,24.1,11.3,26.2,0.8,16.7,75.9
Total male and female,19 to 79 years,Education: higher,0601. Flour,2.0,0.0,0.0,12.5,11.0,18.4,0.8,8.5,72.1
Male,19 to 79 years,Education: higher,0601. Flour,1.6,0.0,0.0,8.8,9.7,16.5,0.8,8.5,57.0
Female,19 to 79 years,Education: higher,0601. Flour,2.4,0.0,0.0,15.8,12.4,19.9,0.8,7.3,72.1
Total male and female,1 to 18 years,Education: lower,"0602. Pasta,Rice,OtherGrain",35.0,0.0,0.0,147.6,29.4,118.5,10.5,92.2,322.2
Male,1 to 18 years,Education: lower,"0602. Pasta,Rice,OtherGrain",35.1,0.0,0.0,140.0,27.8,124.2,10.5,87.5,291.9
Female,1 to 18 years,Education: lower,"0602. Pasta,Rice,OtherGrain",34.9,0.0,0.0,181.0,31.1,113.0,11.5,92.2,362.0
Total male and female,19 to 79 years,Education: lower,"0602. Pasta,Rice,OtherGrain",43.9,0.0,3.7,171.8,29.8,145.0,17.7,130.0,320.6
Male,19 to 79 years,Education: lower,"0602. Pasta,Rice,OtherGrain",54.1,0.0,5.4,226.7,29.2,184.7,22.1,170.0,442.5
Female,19 to 79 years,Education: lower,"0602. Pasta,Rice,OtherGrain",35.5,0.0,3.7,150.0,30.2,113.3,13.5,110.0,240.0
Total male and female,1 to 18 years,Education: intermediate,"0602. Pasta,Rice,OtherGrain",32.7,0.0,0.0,140.0,30.1,109.4,14.2,94.6,300.0
Male,1 to 18 years,Education: intermediate,"0602. Pasta,Rice,OtherGrain",35.6,0.0,5.0,151.3,31.3,113.9,14.2,93.2,320.0
Female,1 to 18 years,Education: intermediate,"0602. Pasta,Rice,OtherGrain",29.7,0.0,0.0,122.2,28.7,104.2,14.6,99.1,240.0
Total male and female,19 to 79 years,Education: intermediate,"0602. Pasta,Rice,OtherGrain",50.4,0.0,18.6,184.5,34.3,145.8,18.7,135.1,316.3
Male,19 to 79 years,Education: intermediate,"0602. Pasta,Rice,OtherGrain",60.3,0.0,30.0,227.7,35.7,166.5,23.9,154.3,357.1
Female,19 to 79 years,Education: intermediate,"0602. Pasta,Rice,OtherGrain",39.7,0.0,10.2,158.8,32.8,121.5,17.7,110.0,263.7
Total male and female,1 to 18 years,Education: higher,"0602. Pasta,Rice,OtherGrain",31.9,0.0,10.9,126.3,32.9,96.4,15.0,78.5,250.0
Male,1 to 18 years,Education: higher,"0602. Pasta,Rice,OtherGrain",32.1,0.0,9.0,135.3,31.5,101.5,15.2,81.7,258.8
Female,1 to 18 years,Education: higher,"0602. Pasta,Rice,OtherGrain",31.6,0.0,12.5,120.0,34.5,91.4,14.2,75.0,229.1
Total male and female,19 to 79 years,Education: higher,"0602. Pasta,Rice,OtherGrain",58.1,0.0,33.3,190.0,40.6,142.2,16.6,120.8,320.0
Male,19 to 79 years,Education: higher,"0602. Pasta,Rice,OtherGrain",67.7,0.0,37.5,204.8,39.8,170.1,19.6,170.0,350.0
Female,19 to 79 years,Education: higher,"0602. Pasta,Rice,OtherGrain",47.8,0.0,31.4,165.3,41.3,113.5,16.3,105.1,242.0
Total male and female,1 to 18 years,Education: lower,0603. Bread,114.9,31.0,102.5,226.0,97.3,118.4,35.0,105.0,260.0
Male,1 to 18 years,Education: lower,0603. Bread,117.9,39.5,105.0,226.0,96.8,122.7,35.0,105.9,270.0
Female,1 to 18 years,Education: lower,0603. Bread,111.8,31.0,101.3,237.0,97.8,114.0,30.0,105.0,248.3
Total male and female,19 to 79 years,Education: lower,0603. Bread,129.1,35.0,124.5,247.5,95.2,136.1,35.0,130.0,275.0
Male,19 to 79 years,Education: lower,0603. Bread,148.8,35.0,140.0,280.0,94.1,158.6,50.0,143.0,297.0
Female,19 to 79 years,Education: lower,0603. Bread,112.9,35.0,109.0,200.0,96.1,117.9,35.0,105.0,216.4
Total male and female,1 to 18 years,Education: intermediate,0603. Bread,120.8,36.5,110.0,240.0,96.4,125.5,35.0,105.0,270.0
Male,1 to 18 years,Education: intermediate,0603. Bread,133.1,36.5,122.5,266.4,96.2,138.7,37.5,120.0,292.0
Female,1 to 18 years,Education: intermediate,0603. Bread,107.8,35.0,102.5,210.0,96.7,111.5,35.0,105.0,240.0
Total male and female,19 to 79 years,Education: intermediate,0603. Bread,137.0,41.5,130.0,268.0,95.6,143.3,38.0,135.0,290.0
Male,19 to 79 years,Education: intermediate,0603. Bread,157.6,50.0,147.5,282.5,96.7,163.6,50.0,141.0,318.0
Female,19 to 79 years,Education: intermediate,0603. Bread,114.8,31.0,105.0,205.0,94.3,120.9,34.0,105.0,245.4
Total male and female,1 to 18 years,Education: higher,0603. Bread,122.6,38.5,113.0,244.7,97.9,125.2,35.0,107.2,260.0
Male,1 to 18 years,Education: higher,0603. Bread,135.0,46.0,122.5,265.0,98.4,137.1,35.0,122.5,286.0
Female,1 to 18 years,Education: higher,0603. Bread,109.4,35.0,104.5,195.9,97.3,112.6,35.0,105.0,235.0
Total male and female,19 to 79 years,Education: higher,0603. Bread,132.8,28.0,127.8,265.5,92.0,145.0,42.0,140.0,290.0
Male,19 to 79 years,Education: higher,0603. Bread,158.3,35.0,150.5,300.3,94.6,168.1,60.0,150.0,321.0
Female,19 to 79 years,Education: higher,0603. Bread,105.6,10.0,102.5,203.3,89.2,118.9,35.0,105.3,225.0
Total male and female,1 to 18 years,Education: lower,060301. Bread,110.3,22.5,100.0,212.5,93.8,118.0,35.0,105.0,248.3
Male,1 to 18 years,Education: lower,060301. Bread,114.1,22.5,105.0,217.5,93.2,123.2,35.0,105.9,270.0
Female,1 to 18 years,Education: lower,060301. Bread,106.3,30.0,95.0,207.5,94.4,112.5,35.0,100.0,245.0
Total male and female,19 to 79 years,Education: lower,060301. Bread,123.1,30.0,115.0,234.0,91.6,134.9,45.0,122.5,270.0
Male,19 to 79 years,Education: lower,060301. Bread,144.1,30.0,139.0,280.0,92.1,157.0,50.0,140.0,297.0
Female,19 to 79 years,Education: lower,060301. Bread,105.9,25.0,105.0,200.0,91.2,116.6,40.0,105.0,220.0
Total male and female,1 to 18 years,Education: intermediate,060301. Bread,117.0,35.0,105.0,240.0,95.2,123.0,35.0,105.0,266.4
Male,1 to 18 years,Education: intermediate,060301. Bread,129.6,35.0,122.0,264.3,95.2,136.4,35.0,115.0,284.5
Female,1 to 18 years,Education: intermediate,060301. Bread,103.6,35.0,97.5,205.0,95.3,108.9,35.0,100.0,235.0
Total male and female,19 to 79 years,Education: intermediate,060301. Bread,131.7,30.0,122.5,265.0,91.5,144.0,45.0,135.0,286.3
Male,19 to 79 years,Education: intermediate,060301. Bread,153.1,44.3,145.0,280.0,94.1,163.4,60.0,140.0,315.0
Female,19 to 79 years,Education: intermediate,060301. Bread,108.7,22.5,104.5,205.0,88.7,121.9,35.0,105.0,240.0
Total male and female,1 to 18 years,Education: higher,060301. Bread,118.7,35.0,108.0,242.5,96.3,123.3,35.0,105.0,260.0
Male,1 to 18 years,Education: higher,060301. Bread,132.0,41.3,120.0,265.0,97.4,135.5,35.0,120.0,285.0
Female,1 to 18 years,Education: higher,060301. Bread,104.7,32.3,100.0,187.4,95.2,110.1,35.0,105.0,230.0
Total male and female,19 to 79 years,Education: higher,060301. Bread,126.6,17.5,120.0,262.5,88.4,143.9,45.0,138.0,280.0
Male,19 to 79 years,Education: higher,060301. Bread,153.0,35.0,146.0,297.5,93.4,164.6,60.0,140.0,320.0
Female,19 to 79 years,Education: higher,060301. Bread,98.5,0.0,95.0,196.0,83.1,119.1,40.0,105.0,222.7
Total male and female,1 to 18 years,Education: lower,060302. Crispbread,4.6,0.0,0.0,25.0,20.6,22.4,5.0,15.0,56.0
Male,1 to 18 years,Education: lower,060302. Crispbread,3.8,0.0,0.0,22.0,17.8,21.8,3.0,20.0,56.0
Female,1 to 18 years,Education: lower,060302. Crispbread,5.5,0.0,0.0,25.0,23.4,22.9,7.0,14.0,55.0
Total male and female,19 to 79 years,Education: lower,060302. Crispbread,6.0,0.0,0.0,30.0,26.5,22.2,7.0,20.0,52.0
Male,19 to 79 years,Education: lower,060302. Crispbread,4.7,0.0,0.0,28.0,20.6,22.6,8.0,20.0,56.0
Female,19 to 79 years,Education: lower,060302. Crispbread,7.0,0.0,0.0,30.0,31.3,22.0,7.0,20.0,50.0
Total male and female,1 to 18 years,Education: intermediate,060302. Crispbread,3.8,0.0,0.0,18.5,20.5,18.8,7.0,14.0,46.0
Male,1 to 18 years,Education: intermediate,060302. Crispbread,3.5,0.0,0.0,17.5,17.8,20.1,7.0,14.0,48.0
Female,1 to 18 years,Education: intermediate,060302. Crispbread,4.2,0.0,0.0,18.5,23.3,17.7,6.0,14.0,42.0
Total male and female,19 to 79 years,Education: intermediate,060302. Crispbread,5.2,0.0,0.0,29.5,21.7,24.1,7.0,20.0,56.0
Male,19 to 79 years,Education: intermediate,060302. Crispbread,4.5,0.0,0.0,30.0,18.1,25.1,7.0,20.0,52.0
Female,19 to 79 years,Education: intermediate,060302. Crispbread,6.0,0.0,0.0,28.6,25.5,23.3,7.0,20.0,57.1
Total male and female,1 to 18 years,Education: higher,060302. Crispbread,3.8,0.0,0.0,17.5,23.1,16.6,6.5,14.0,37.0
Male,1 to 18 years,Education: higher,060302. Crispbread,3.0,0.0,0.0,15.0,18.5,16.0,7.0,14.0,31.0
Female,1 to 18 years,Education: higher,060302. Crispbread,4.7,0.0,0.0,20.5,28.0,17.0,6.0,14.0,45.0
Total male and female,19 to 79 years,Education: higher,060302. Crispbread,6.2,0.0,0.0,28.0,24.7,24.9,7.0,20.0,60.0
Male,19 to 79 years,Education: higher,060302. Crispbread,5.3,0.0,0.0,25.0,22.5,23.5,7.0,15.0,70.0
Female,19 to 79 years,Education: higher,060302. Crispbread,7.1,0.0,0.0,30.0,27.0,26.2,9.0,21.0,60.0
Total male and female,1 to 18 years,Education: lower,0604. Breakfast cereals,4.0,0.0,0.0,30.0,10.2,39.8,5.0,30.0,116.0
Male,1 to 18 years,Education: lower,0604. Breakfast cereals,4.4,0.0,0.0,30.0,13.7,34.1,5.0,30.0,70.0
Female,1 to 18 years,Education: lower,0604. Breakfast cereals,3.5,0.0,0.0,27.0,6.6,52.3,5.0,45.0,120.0
Total male and female,19 to 79 years,Education: lower,0604. Breakfast cereals,4.6,0.0,0.0,30.0,12.7,37.7,9.8,29.8,100.0
Male,19 to 79 years,Education: lower,0604. Breakfast cereals,4.8,0.0,0.0,30.0,10.8,45.8,5.0,36.0,120.0
Female,19 to 79 years,Education: lower,0604. Breakfast cereals,4.5,0.0,0.0,25.7,14.4,32.7,9.8,26.2,60.0
Total male and female,1 to 18 years,Education: intermediate,0604. Breakfast cereals,6.2,0.0,0.0,40.0,16.0,38.0,9.8,33.5,80.0
Male,1 to 18 years,Education: intermediate,0604. Breakfast cereals,6.8,0.0,0.0,40.0,15.3,43.2,11.2,40.0,80.0
Female,1 to 18 years,Education: intermediate,0604. Breakfast cereals,5.6,0.0,0.0,34.4,16.7,33.0,6.2,30.0,68.9
Total male and female,19 to 79 years,Education: intermediate,0604. Breakfast cereals,7.2,0.0,0.0,43.5,17.4,41.7,13.0,39.4,88.0
Male,19 to 79 years,Education: intermediate,0604. Breakfast cereals,7.0,0.0,0.0,45.0,15.5,45.7,13.3,40.0,111.9
Female,19 to 79 years,Education: intermediate,0604. Breakfast cereals,7.4,0.0,0.0,41.2,19.4,38.2,13.0,35.0,80.0
Total male and female,1 to 18 years,Education: higher,0604. Breakfast cereals,6.6,0.0,0.0,39.8,18.7,35.2,8.0,30.0,80.0
Male,1 to 18 years,Education: higher,0604. Breakfast cereals,7.0,0.0,0.0,40.0,18.8,37.6,7.4,33.0,85.0
Female,1 to 18 years,Education: higher,0604. Breakfast cereals,6.1,0.0,0.0,36.0,18.6,32.7,9.8,30.0,70.0
Total male and female,19 to 79 years,Education: higher,0604. Breakfast cereals,11.3,0.0,0.0,60.0,25.8,44.1,9.8,40.0,100.0
Male,19 to 79 years,Education: higher,0604. Breakfast cereals,11.1,0.0,0.0,60.0,22.0,50.1,9.8,40.0,120.0
Female,19 to 79 years,Education: higher,0604. Breakfast cereals,11.6,0.0,0.0,50.0,29.9,39.4,9.8,40.0,84.6
