Municipality,0 to 5 years,5 to 10 years,10 to 15 years,15 to 20 years,20 to 25 years,25 to 30 years,30 to 35 years,35 to 40 years,40 to 45 years,45 to 50 years,50 to 55 years,55 to 60 years,60 to 65 years,65 to 70 years,70 to 75 years,75 to 80 years,80 to 85 years,85 to 90 years,90 to 95 years,95 or older
Maasland,,,,,,,,,,,,,,,,,,,,
Maassluis,844,875,883,902,858,936,930,977,948,1175,1154,1017,1014,1141,1076,619,356,218,52,6
Maastricht,2224,2084,2248,3574,6838,5271,3646,3039,2801,3482,4014,4070,3804,3722,3260,2276,1426,715,252,21
Margraten,,,,,,,,,,,,,,,,,,,,
Markelo,,,,,,,,,,,,,,,,,,,,
De Marne,220,246,289,293,232,218,269,249,269,387,402,396,434,383,363,218,113,69,23,7
Marum,269,292,351,379,308,296,292,290,297,457,462,433,381,302,282,173,94,45,13,4
Medemblik,1101,1219,1460,1523,1235,1201,1204,1202,1341,1726,1737,1664,1600,1616,1329,791,417,208,58,12
Meerlo-Wanssum,,,,,,,,,,,,,,,,,,,,
Meerssen,367,409,514,548,462,430,388,445,488,703,791,817,736,686,675,425,302,145,35,4
Meierijstad,2002,2095,2285,2696,2226,2272,2369,2273,2359,2993,3179,3076,2856,2597,2085,1415,921,413,127,13
Meijel,,,,,,,,,,,,,,,,,,,,
Menaldumadeel,,,,,,,,,,,,,,,,,,,,
Menameradiel,,,,,,,,,,,,,,,,,,,,
Menterwolde,,,,,,,,,,,,,,,,,,,,
Meppel,828,996,1026,1048,814,892,975,996,1067,1294,1251,1131,1034,946,890,532,324,172,61,10
Middelburg (Z.),1199,1344,1446,1613,1297,1342,1344,1354,1412,1660,1726,1573,1528,1386,1366,931,524,301,143,17
Middelharnis,,,,,,,,,,,,,,,,,,,,
Midden-Delfland,520,608,608,690,633,477,489,500,540,729,817,754,660,571,431,308,190,132,37,3
Midden-Drenthe,743,807,1013,1152,799,687,825,772,948,1312,1338,1354,1223,1205,1040,652,392,195,74,13
Midden-Groningen,1372,1626,1734,1948,1598,1477,1548,1613,1894,2479,2518,2405,2175,2046,1902,1112,675,324,98,16
Mierlo,,,,,,,,,,,,,,,,,,,,
Mill en Sint Hubert,220,265,334,368,294,312,242,257,294,458,477,475,437,382,303,185,140,69,25,3
Millingen aan de Rijn,,,,,,,,,,,,,,,,,,,,
Moerdijk,863,996,1080,1203,933,914,988,904,1133,1554,1548,1415,1276,1264,1118,643,416,194,66,10
Molenlanden,,,,,,,,,,,,,,,,,,,,
Molenwaard,900,1041,1125,1199,1112,799,789,790,861,966,1081,995,837,753,741,458,229,142,52,4
Monster,,,,,,,,,,,,,,,,,,,,
Montferland,781,800,991,1189,952,941,845,848,907,1392,1601,1484,1340,1215,1082,735,470,206,41,13
Montfoort,368,444,485,519,395,364,355,375,452,512,528,517,373,405,398,252,140,52,19,1
Mook en Middelaar,144,168,244,261,197,159,126,138,181,309,335,337,301,314,257,193,101,66,17,1
Moordrecht,,,,,,,,,,,,,,,,,,,,
Muiden,,,,,,,,,,,,,,,,,,,,
Naaldwijk,,,,,,,,,,,,,,,,,,,,
Naarden,,,,,,,,,,,,,,,,,,,,
Neder-Betuwe,843,821,874,949,866,702,652,592,639,851,838,728,671,619,580,315,185,92,30,4
Nederhorst den Berg,,,,,,,,,,,,,,,,,,,,
Nederlek,,,,,,,,,,,,,,,,,,,,
Nederweert,364,400,466,508,478,458,437,467,488,636,727,725,647,651,466,345,209,102,32,5
Neede,,,,,,,,,,,,,,,,,,,,
Neerijnen,400,360,445,482,332,334,356,309,356,532,520,467,379,330,303,192,106,55,15,5
Niedorp,,,,,,,,,,,,,,,,,,,,
Nieuwegein,1673,1678,1614,1830,1667,2161,2097,1971,1886,2258,2200,2107,2136,2190,1749,947,522,233,72,12
Nieuwerkerk aan den IJssel,,,,,,,,,,,,,,,,,,,,
Nieuwkoop,698,787,805,948,855,809,771,744,803,1022,1223,1125,1010,893,881,488,277,132,46,8
Nieuw-Lekkerland,,,,,,,,,,,,,,,,,,,,
Nieuwleusen,,,,,,,,,,,,,,,,,,,,
Nijefurd,,,,,,,,,,,,,,,,,,,,
Nijkerk,1265,1375,1381,1464,1146,1142,1260,1248,1245,1645,1661,1413,1218,1165,1040,687,431,199,45,6
Nijmegen,4285,4196,3944,4762,9480,8315,6274,5363,4926,5722,5533,5318,4787,4313,3396,2114,1427,700,227,37
Nissewaard,2138,2314,2309,2558,2460,2546,2589,2495,2282,2913,3006,3212,3104,2655,2097,1312,826,397,132,15
Noardeast-Fryslân,,,,,,,,,,,,,,,,,,,,
Noord-Beveland,157,146,170,186,154,168,176,184,220,277,318,245,305,313,274,194,105,57,25,6
Noordenveld,734,952,1032,1052,705,546,689,774,899,1148,1228,1199,1180,1129,1099,769,496,261,76,14
Noorder-Koggenland,,,,,,,,,,,,,,,,,,,,
Noordoostpolder,1387,1530,1637,1734,1284,1391,1571,1445,1313,1773,1731,1633,1522,1353,1022,651,400,195,61,13
Noordwijk,595,680,701,768,738,730,719,771,800,955,976,1011,918,871,816,513,295,133,40,8
Noordwijkerhout,407,448,484,568,466,499,523,469,462,594,647,607,579,536,467,306,199,85,19,1
Nootdorp,,,,,,,,,,,,,,,,,,,,
"Nuenen, Gerwen en Nederwetten",550,576,657,713,565,469,522,564,579,798,871,935,823,845,821,545,337,151,33,6
Nunspeet,844,855,871,938,845,769,739,724,737,874,977,930,851,799,639,485,285,163,64,9
Nuth,287,326,383,380,374,351,377,357,414,539,629,636,593,575,559,380,230,121,37,
Obdam,,,,,,,,,,,,,,,,,,,,
Oegstgeest,655,732,802,788,534,518,609,720,720,854,858,855,754,679,557,372,251,167,62,8
Oirschot,402,466,550,655,522,510,460,459,471,692,766,824,749,627,533,315,204,100,31,5
Oisterwijk,576,710,736,818,715,662,621,649,723,970,1011,1004,886,814,791,535,376,195,66,8
Oldambt,786,913,1029,1101,925,896,934,934,1088,1585,1533,1506,1433,1443,1274,750,461,250,62,10
Oldebroek,711,790,777,800,675,655,670,678,675,833,894,885,799,676,529,373,231,136,27,7
Oldenzaal,711,972,1025,1096,799,848,812,876,966,1211,1091,1157,1033,1056,913,600,394,193,52,7
Olst,,,,,,,,,,,,,,,,,,,,
Olst-Wijhe,456,475,574,604,496,447,435,477,451,677,798,751,687,609,491,338,184,118,39,7
Ommen,456,516,542,582,446,467,441,512,500,624,686,679,654,589,503,341,183,120,35,8
Onderbanken,175,165,208,243,204,202,198,177,210,284,365,354,351,278,230,162,105,42,9,
Oost Gelre,648,764,964,1159,816,801,746,816,776,1026,1320,1228,1120,993,791,562,298,151,41,4
Oostburg,,,,,,,,,,,,,,,,,,,,
Oosterhout,1391,1435,1485,1717,1455,1460,1418,1533,1611,2057,2133,2097,1803,1821,1678,1059,627,336,72,14
Oostflakkee,,,,,,,,,,,,,,,,,,,,
Ooststellingwerf,586,660,742,811,623,624,667,613,750,952,1012,981,967,919,781,507,323,162,53,10
Oostzaan,250,264,301,329,254,233,213,255,305,373,430,372,322,275,255,183,99,64,12,
Ootmarsum,,,,,,,,,,,,,,,,,,,,
Opmeer,289,293,363,409,373,376,301,280,317,425,454,454,386,377,357,218,123,42,16,
Opsterland,695,863,981,1059,819,719,713,753,828,1156,1263,1160,1073,956,822,509,333,181,57,11
Oss,2255,2311,2636,2999,2681,2786,2711,2619,2722,3548,3643,3431,2933,2782,2341,1508,1007,473,156,22
Oud-Beijerland,680,749,764,830,648,627,674,613,741,946,847,821,784,732,680,360,270,118,48,7
Oude IJsselstreek,904,1035,1142,1342,1095,966,869,974,1082,1552,1662,1606,1502,1355,1200,810,469,223,70,8
Ouder-Amstel,372,388,448,484,322,285,284,368,396,522,502,513,485,420,374,204,119,81,38,5
Ouderkerk,,,,,,,,,,,,,,,,,,,,
Oudewater,259,291,315,340,294,303,263,257,276,410,419,359,310,307,251,174,122,36,15,
Overbetuwe,1335,1440,1552,1740,1169,1091,1147,1299,1479,1949,1927,1784,1499,1382,1235,791,478,209,59,9
Papendrecht,810,952,974,1082,917,834,848,881,958,1179,1198,1090,956,958,938,616,406,196,61,6
Peel en Maas,915,1057,1229,1356,1249,1300,1174,1128,1228,1622,1810,1805,1664,1556,1224,861,507,232,62,9
Pekela,308,329,328,376,341,328,311,328,382,468,500,443,449,434,399,231,126,74,18,1
Pijnacker,,,,,,,,,,,,,,,,,,,,
Pijnacker-Nootdorp,1602,1972,2114,1999,1524,1191,1281,1635,1799,2436,2313,1827,1408,1170,972,682,481,240,66,11
Purmerend,1866,2060,2289,2591,2401,2438,2197,2168,2358,3044,3100,3055,2557,2132,1933,1296,885,457,132,27
Putten,647,780,742,803,741,695,693,672,656,873,943,873,698,681,614,452,279,152,36,11
Raalte,913,1010,1146,1210,1033,1011,940,922,957,1240,1561,1582,1378,1286,982,694,442,232,88,11
Ravenstein,,,,,,,,,,,,,,,,,,,,
Reeuwijk,,,,,,,,,,,,,,,,,,,,
Reiderland,,,,,,,,,,,,,,,,,,,,
Reimerswaal,806,826,792,771,716,749,745,656,662,786,765,666,621,546,525,297,217,139,42,8
Renkum,649,777,949,945,597,565,609,740,912,1133,1225,1286,1077,1147,1075,704,519,287,109,18
Renswoude,192,190,184,181,169,177,159,156,149,204,183,147,144,125,114,60,35,18,3,1
Reusel-De Mierden,356,393,369,338,362,404,438,442,381,396,483,544,566,480,343,214,125,60,13,1
Rheden,912,1090,1196,1319,1190,1099,1077,1113,1136,1564,1584,1620,1424,1416,1309,990,676,391,144,24
Rhenen,551,622,642,663,518,537,504,544,540,730,753,661,591,605,539,391,234,138,31,3
Ridderkerk,1119,1213,1150,1291,1297,1312,1254,1156,1130,1529,1661,1655,1489,1430,1372,994,623,371,123,18
Rijnsburg,,,,,,,,,,,,,,,,,,,,
Rijnwaarden,,,,,,,,,,,,,,,,,,,,
Rijnwoude,,,,,,,,,,,,,,,,,,,,
Rijssen,,,,,,,,,,,,,,,,,,,,
Rijssen-Holten,1221,1361,1389,1350,1195,1132,1126,1109,1096,1333,1327,1193,1060,933,910,589,401,207,53,1
Rijswijk (ZH.),1629,1417,1189,1133,1245,1654,1842,1702,1511,1658,1723,1689,1588,1555,1290,887,666,418,150,27
Roerdalen,392,478,458,558,510,516,474,524,525,767,853,894,895,883,718,477,253,145,33,8
Roermond,1361,1461,1459,1641,1442,1898,1925,1741,1727,2147,2297,2190,1899,1864,1502,1002,568,297,86,13
Roggel en Neer,,,,,,,,,,,,,,,,,,,,
De Ronde Venen,1056,1107,1375,1510,1217,1098,999,1028,1211,1694,1863,1785,1550,1345,1197,749,489,234,83,8
Roosendaal,1901,2017,2084,2404,2235,2224,2181,2039,2167,2940,3013,3010,2487,2443,2127,1392,854,432,125,30
Rotterdam,18830,17970,16237,17995,24475,28606,25512,22460,20213,21977,21017,19406,16651,14307,11738,8015,5213,2948,998,198
Rozenburg,,,,,,,,,,,,,,,,,,,,
Rozendaal,33,51,68,46,29,13,14,33,44,56,61,75,55,56,55,35,31,14,8,1
Rucphen,478,490,494,618,604,613,584,617,550,863,1073,1039,890,805,704,457,257,101,21,4
Ruurlo,,,,,,,,,,,,,,,,,,,,
Sas van Gent,,,,,,,,,,,,,,,,,,,,
Sassenheim,,,,,,,,,,,,,,,,,,,,
Schagen,967,1297,1418,1583,1318,1114,1062,1157,1369,1794,1732,1707,1584,1616,1588,970,554,278,83,13
Scheemda,,,,,,,,,,,,,,,,,,,,
Schermer,,,,,,,,,,,,,,,,,,,,
Scherpenzeel,322,339,308,354,321,304,295,294,271,341,347,289,266,246,254,158,74,46,10,2
Schiedam,2122,2173,2074,2251,2469,2929,2614,2536,2491,2963,2938,2700,2304,2035,1716,1055,676,387,145,28
Schiermonnikoog,13,17,23,24,23,27,22,27,30,38,31,36,47,40,33,26,15,8,3,1
Schijndel,,,,,,,,,,,,,,,,,,,,
Schinnen,271,324,327,383,344,293,291,306,346,462,518,537,522,483,444,289,184,83,25,2
Schipluiden,,,,,,,,,,,,,,,,,,,,
Schoonhoven,,,,,,,,,,,,,,,,,,,,
Schoorl,,,,,,,,,,,,,,,,,,,,
Schouwen-Duiveland,716,842,904,997,812,785,793,798,833,1216,1241,1284,1232,1260,1242,758,520,285,101,24
Sevenum,,,,,,,,,,,,,,,,,,,,
Simpelveld,206,235,272,275,235,252,275,243,294,372,436,438,442,377,380,252,148,84,10,1
Sint Anthonis,264,276,350,450,355,303,281,262,309,429,572,529,459,401,281,197,177,77,26,
Sint-Michielsgestel,691,858,887,1056,684,601,702,765,828,1138,1151,1153,997,921,802,541,377,176,56,10
Sint-Oedenrode,,,,,,,,,,,,,,,,,,,,
Sittard,,,,,,,,,,,,,,,,,,,,
Sittard-Geleen,1864,2066,2120,2592,2554,2843,2630,2546,2516,3181,3887,3983,3387,3259,2634,1792,1182,605,198,20
Skarsterlân,,,,,,,,,,,,,,,,,,,,
Sliedrecht,814,773,732,796,693,873,854,735,671,916,813,779,690,658,602,406,290,163,57,10
Slochteren,,,,,,,,,,,,,,,,,,,,
Sluis,494,502,563,589,545,611,604,546,625,822,931,887,878,954,857,559,362,190,70,17
Sluis-Aardenburg,,,,,,,,,,,,,,,,,,,,
Smallingerland,1439,1615,1704,1952,1470,1571,1696,1600,1685,2105,2175,1939,1735,1514,1507,1034,642,282,117,13
Sneek,,,,,,,,,,,,,,,,,,,,
Soest,1122,1291,1456,1594,1137,1043,994,1233,1342,1683,1753,1752,1455,1420,1384,770,571,306,120,20
Someren,521,433,535,595,639,630,611,507,515,665,856,851,656,558,484,371,213,100,20,4
Son en Breugel,447,497,540,540,416,399,413,442,494,637,667,630,447,446,400,374,288,161,45,10
Spijkenisse,,,,,,,,,,,,,,,,,,,,
Stad Delden,,,,,,,,,,,,,,,,,,,,
Stadskanaal,701,810,893,1067,856,760,838,806,922,1198,1221,1210,1139,1046,1042,674,471,223,74,21
Staphorst,636,669,685,718,586,527,553,477,476,571,568,543,432,382,333,216,150,80,16,6
Stede Broec,604,586,706,722,606,587,573,654,650,800,795,716,695,681,784,412,205,89,28,2
Steenbergen,549,602,638,735,921,849,807,693,718,965,1041,956,862,797,709,435,258,127,36,13
Steenderen,,,,,,,,,,,,,,,,,,,,
Steenwijk,,,,,,,,,,,,,,,,,,,,
Steenwijkerland,1149,1166,1295,1508,1118,1176,1147,1191,1240,1586,1722,1670,1578,1425,1281,840,547,265,89,23
Stein (L.),449,484,675,710,572,578,629,612,657,919,1007,1057,957,1030,872,625,351,152,45,4
Stichtse Vecht,1708,1972,1911,1966,1565,1511,1752,1886,1944,2414,2510,2382,2191,2029,1692,1064,631,314,93,21
Strijen,182,182,230,265,243,233,223,195,250,393,374,373,306,299,285,157,95,53,9,2
Súdwest-Fryslân,2255,2565,2886,3057,2294,2317,2326,2375,2526,3471,3555,3241,3014,2948,2649,1753,1089,522,147,35
Susteren,,,,,,,,,,,,,,,,,,,,
Swalmen,,,,,,,,,,,,,,,,,,,,
Tegelen,,,,,,,,,,,,,,,,,,,,
Terneuzen,1178,1342,1503,1606,1277,1453,1425,1431,1493,2164,2189,1980,1861,1866,1771,1191,768,369,148,27
Terschelling,85,95,107,214,345,165,120,105,145,171,198,165,157,162,167,94,47,35,11,4
Texel,286,291,343,432,336,395,301,317,324,485,516,592,539,537,520,295,142,66,25,9
Teylingen,911,1022,1215,1340,1036,977,952,996,1056,1435,1515,1443,1197,1010,840,606,419,233,70,16
Tholen,740,812,804,928,784,762,768,685,697,922,993,864,797,705,696,412,244,115,49,10
Thorn,,,,,,,,,,,,,,,,,,,,
Tiel,1028,1126,1296,1473,1276,1248,1264,1267,1313,1625,1708,1471,1197,1163,993,600,362,158,54,13
Tilburg,5380,5581,5733,6719,9698,8974,7369,6961,6800,7772,7555,6805,5928,5477,4636,3022,1866,875,256,54
Tubbergen,523,593,753,859,715,654,514,534,549,809,911,810,766,671,476,318,223,102,21,3
Twenterand,940,1141,1252,1274,968,918,979,994,1002,1336,1250,1183,1107,956,871,509,321,147,39,2
Tynaarlo,850,990,1029,1123,614,497,683,878,970,1277,1272,1360,1231,1073,1040,652,487,265,101,21
Tytsjerksteradiel,767,925,1003,1060,800,757,819,861,936,1158,1200,1125,1093,1057,991,662,421,202,73,9
Ubbergen,,,,,,,,,,,,,,,,,,,,
Uden,1028,1062,1224,1328,1156,1234,1176,1199,1358,1577,1595,1446,1264,1358,1086,732,522,241,68,9
Uitgeest,380,398,456,506,408,351,373,375,399,518,594,512,412,405,299,209,132,58,15,2
Uithoorn,764,833,930,1016,809,768,854,855,939,1122,1265,1121,826,716,666,469,330,187,47,11
Urk,1010,1019,935,952,839,786,744,661,579,581,580,478,353,327,237,159,79,33,14,2
Utrecht,11082,10250,9128,8522,15424,19477,16786,13910,11916,12315,10061,8484,6649,5508,4201,3024,1912,939,335,51
Utrechtse Heuvelrug,1200,1301,1549,1754,1222,943,965,1219,1409,1849,1917,1979,1593,1511,1378,998,687,413,140,18
Vaals,155,184,189,336,353,228,213,207,252,326,432,437,409,415,338,256,155,80,25,3
Valburg,,,,,,,,,,,,,,,,,,,,
Valkenburg (ZH.),,,,,,,,,,,,,,,,,,,,
Valkenburg aan de Geul,274,333,379,444,401,382,382,353,438,582,674,739,635,652,596,416,279,138,35,4
Valkenswaard,652,731,772,880,743,832,838,769,787,1132,1173,1214,1141,1032,1004,688,485,214,70,8
Veendam,609,746,781,898,711,677,696,750,795,1200,1133,986,906,920,860,481,290,168,50,10
Veenendaal,1989,2057,2202,2278,1895,2088,2050,1976,1874,2404,2241,2049,1846,1747,1482,895,570,297,85,15
Veere,566,563,581,719,560,467,527,523,546,736,823,804,846,869,785,507,304,163,51,10
Veghel,,,,,,,,,,,,,,,,,,,,
Veldhoven,1106,1180,1307,1400,1169,1227,1293,1310,1368,1739,1714,1737,1565,1400,1180,839,555,260,78,2
Velsen,1666,1702,1907,2363,2065,1839,1806,1786,1934,2540,2896,2760,2215,1960,1723,1104,754,446,179,24
Venhuizen,,,,,,,,,,,,,,,,,,,,
Venlo,2370,2496,2695,2931,2917,3024,3001,2926,2974,3675,3932,3958,3596,3455,2678,1808,1103,601,180,30
Venray,1073,1121,1191,1494,1256,1246,1252,1208,1284,1643,1832,1698,1543,1471,1146,812,502,210,55,11
Vianen,555,553,655,618,546,567,518,546,603,792,748,630,613,613,578,344,193,103,35,5
Vijfheerenlanden,,,,,,,,,,,,,,,,,,,,
Vlaardingen,2041,1985,1895,1978,2076,2253,2292,2127,2122,2510,2547,2258,2221,2094,1880,1247,874,475,180,36
Vlagtwedde,,,,,,,,,,,,,,,,,,,,
Vleuten-De Meern,,,,,,,,,,,,,,,,,,,,
Vlieland,20,18,30,19,53,40,27,29,33,51,66,51,30,29,32,18,13,3,1,
Vlissingen,993,1120,1222,1271,1383,1263,1239,1341,1453,1596,1542,1537,1531,1455,1360,848,526,301,96,16
Vlist,,,,,,,,,,,,,,,,,,,,
Voerendaal,283,275,305,343,265,269,285,276,281,422,481,550,516,478,444,300,206,87,19,1
Voorburg,,,,,,,,,,,,,,,,,,,,
Voorhout,,,,,,,,,,,,,,,,,,,,
Voorschoten,686,761,843,758,583,558,537,697,749,887,919,858,820,772,731,473,318,223,84,8
Voorst,619,636,693,817,617,531,573,592,612,865,967,1004,969,896,752,464,324,160,47,10
Vorden,,,,,,,,,,,,,,,,,,,,
Vriezenveen,,,,,,,,,,,,,,,,,,,,
Vught,760,818,792,814,616,613,711,812,888,997,1050,1011,910,780,664,396,289,158,60,12
Waadhoeke,1074,1271,1483,1563,1216,1227,1215,1233,1359,1876,1814,1757,1715,1589,1376,875,509,196,85,17
Waalre,438,536,528,569,356,320,371,450,512,592,661,669,565,538,491,332,286,148,50,3
Waalwijk,1179,1255,1336,1423,1195,1489,1574,1464,1438,1803,1859,1714,1481,1512,1331,854,547,261,63,10
Waddinxveen,838,755,800,864,822,883,935,801,751,948,978,921,855,882,690,424,338,175,38,7
Wageningen,759,869,860,1138,2741,1921,1246,1060,884,1059,1110,1156,1001,843,745,475,321,188,71,16
Warmond,,,,,,,,,,,,,,,,,,,,
Warnsveld,,,,,,,,,,,,,,,,,,,,
Wassenaar,542,763,947,950,525,390,408,487,721,948,1032,910,808,802,761,546,433,230,101,27
Wateringen,,,,,,,,,,,,,,,,,,,,
Waterland,393,470,527,523,411,395,314,373,482,619,641,690,675,623,577,386,231,124,33,5
Weerselo,,,,,,,,,,,,,,,,,,,,
Weert,1130,1181,1326,1548,1451,1412,1429,1360,1422,1763,2037,1975,1668,1671,1460,1067,661,333,88,12
Weesp,536,531,520,489,411,535,573,615,611,714,741,683,630,508,485,339,205,112,42,4
Wehl,,,,,,,,,,,,,,,,,,,,
Werkendam,765,859,882,867,800,778,740,741,827,1012,994,927,887,788,769,445,286,128,28,9
Wervershoof,,,,,,,,,,,,,,,,,,,,
West Betuwe,,,,,,,,,,,,,,,,,,,,
West Maas en Waal,445,461,504,601,481,498,483,501,512,793,851,774,730,669,529,328,176,92,23,4
Wester-Koggenland,,,,,,,,,,,,,,,,,,,,
Westerkwartier,,,,,,,,,,,,,,,,,,,,
Westerveld,353,407,538,598,390,354,411,422,462,707,774,787,811,800,694,471,301,170,50,15
Westervoort,357,393,407,446,442,421,454,391,394,503,534,702,613,537,350,209,122,61,26,
Westerwolde,483,602,656,722,544,600,551,549,638,853,1012,1057,1003,1070,873,553,366,170,55,11
Westland,2857,3045,3211,3415,3570,3542,3202,3180,3196,3803,4005,3875,3319,3122,2681,1809,1129,545,178,28
Weststellingwerf,607,689,740,854,648,627,696,652,701,969,995,962,910,816,817,540,353,156,57,11
Westvoorne,281,350,411,461,345,290,273,290,381,526,626,653,542,531,532,326,177,139,45,10
Wierden,667,702,815,804,669,668,702,636,742,853,876,891,800,741,665,459,248,135,32,6
Wieringen,,,,,,,,,,,,,,,,,,,,
Wieringermeer,,,,,,,,,,,,,,,,,,,,
Wijchen,938,1105,1311,1325,1072,1007,1001,1143,1192,1591,1684,1567,1425,1332,1168,726,412,175,53,3
Wijdemeren,518,621,707,770,523,411,442,576,606,932,1000,1014,809,818,732,544,268,168,54,11
Wijhe,,,,,,,,,,,,,,,,,,,,
Wijk bij Duurstede,650,662,752,802,592,571,587,564,670,895,944,984,899,807,622,365,186,96,19,4
Winschoten,,,,,,,,,,,,,,,,,,,,
Winsum,308,432,464,481,335,261,284,344,391,521,515,515,495,489,422,228,137,72,26,7
Winterswijk,638,706,923,938,818,761,743,750,814,1123,1104,1168,1051,974,853,555,333,189,55,12
Wisch,,,,,,,,,,,,,,,,,,,,
Woensdrecht,475,533,557,716,538,545,552,545,610,883,985,845,713,738,752,515,280,125,28,3
Woerden,1459,1625,1747,1782,1329,1425,1403,1554,1595,2016,2001,1819,1524,1408,1300,811,476,231,74,8
Wognum,,,,,,,,,,,,,,,,,,,,
De Wolden,557,583,687,874,621,530,549,538,617,881,1027,964,923,849,709,475,340,157,62,14
Wormerland,338,403,454,567,469,398,349,312,439,662,688,675,490,472,490,370,218,95,31,2
Woudenberg,436,474,485,505,365,367,375,350,374,462,464,420,353,345,311,211,131,78,26,4
Woudrichem,369,413,483,490,370,421,387,429,415,582,583,503,506,483,401,246,158,70,17,3
Wûnseradiel,,,,,,,,,,,,,,,,,,,,
Wymbritseradiel,,,,,,,,,,,,,,,,,,,,
Zaanstad,4369,4464,4525,4739,4460,4817,4903,4962,4903,6102,6135,5214,4356,4096,3678,2404,1523,693,228,41
Zaltbommel,852,940,1019,1003,845,801,768,794,859,1030,1058,952,856,771,656,444,287,128,30,7
Zandvoort,348,378,397,419,388,402,381,398,496,682,685,649,586,636,594,367,208,115,56,9
Zederik,477,450,402,474,446,401,430,422,374,461,518,497,457,399,384,200,135,75,18,5
Zeevang,,,,,,,,,,,,,,,,,,,,
Zeewolde,621,693,859,945,769,797,707,610,640,936,1042,864,625,463,397,228,154,73,24,2
Zeist,1818,1882,2079,2038,1704,1765,1608,1782,1919,2269,2296,2129,1847,1775,1515,1042,700,392,146,42
Zelhem,,,,,,,,,,,,,,,,,,,,
Zevenaar,971,1111,1152,1274,1101,1063,1026,1229,1287,1639,1696,1640,1524,1627,1361,829,502,239,61,14
Zevenhuizen-Moerkapelle,,,,,,,,,,,,,,,,,,,,
Zijpe,,,,,,,,,,,,,,,,,,,,
Zoetermeer,3424,3796,3694,3854,3672,3801,3879,3700,3531,4060,4275,4381,4404,3877,3044,1701,1016,501,182,33
Zoeterwoude,191,217,251,265,248,239,187,204,221,321,353,368,309,257,246,143,93,57,8,2
Zuidhorn,547,626,683,652,467,401,524,512,608,735,714,673,600,563,526,356,163,75,28,5
Zuidplas,1248,1255,1289,1430,1193,1079,1187,1187,1140,1558,1629,1538,1445,1249,995,644,431,182,72,5
Zundert,487,494,486,682,668,589,621,567,604,816,878,983,862,762,626,385,266,177,39,11
Zutphen,987,1294,1555,1652,1165,1186,1143,1347,1495,1867,1819,1687,1577,1642,1320,774,419,258,93,15
Zwartewaterland,713,863,830,889,772,667,727,672,672,795,750,680,632,617,544,308,184,91,20,5
Zwartsluis,,,,,,,,,,,,,,,,,,,,
Zwijndrecht,1222,1287,1267,1292,1238,1324,1275,1268,1241,1463,1554,1489,1325,1346,1202,823,577,328,106,16
Zwolle,3706,3965,3916,3835,4034,4681,4563,4305,4300,4727,4127,3806,3424,2848,2422,1602,973,567,188,41
Bron: CBS,,,,,,,,,,,,,,,,,,,,
