Method,Type,Parameter,Score
EDIP2003 (obsolete),non-renewable resources,silver,5.948864808132898e-12
EDIP2003 (obsolete),non-renewable resources,tantalum,6.903552056685118e-13
EDIP2003 (obsolete),non-renewable resources,tin,2.1541220817102642e-11
EDIP2003 (obsolete),non-renewable resources,zinc,5.7663761937791776e-09
EDIP2003 (obsolete),acidification,acidification,1.3614404553656273e-05
EDIP2003 (obsolete),ecotoxicity,"acute, in water",0.06648502123389512
EDIP2003 (obsolete),ecotoxicity,"chronic, in soil",0.00031717731814102175
EDIP2003 (obsolete),ecotoxicity,"chronic, in water",0.5838273637918476
EDIP2003 (obsolete),ecotoxicity,in sewage treatment plants,0.6977558667963634
EDIP2003 (obsolete),eutrophication,combined potential,5.3427726857364755e-06
EDIP2003 (obsolete),eutrophication,separate N potential,1.4242121955789005e-07
EDIP2003 (obsolete),eutrophication,separate P potential,1.4866289545823149e-07
EDIP2003 (obsolete),eutrophication,terrestrial eutrophication,1.007497130733588e-05
EDIP2003 (obsolete),global warming,GWP 100a,0.00017164505710198975
EDIP2003 (obsolete),global warming,GWP 20a,0.00018261228198388987
EDIP2003 (obsolete),global warming,GWP 500a,0.00016627768403189327
EDIP2003 (obsolete),human toxicity,via air,52.55785613678429
EDIP2003 (obsolete),human toxicity,via soil,2.6653145642586757e-05
EDIP2003 (obsolete),human toxicity,via surface water,0.016874819529306462
EDIP2003 (obsolete),land filling,bulk waste,1.7688827546694014e-05
EDIP2003 (obsolete),land filling,hazardous waste,1.3769586067701093e-09
EDIP2003 (obsolete),land filling,radioactive waste,2.5065674246649638e-08
EDIP2003 (obsolete),land filling,slag and ashes,4.414858282971307e-07
EDIP2003 (obsolete),non-renewable resources,aluminium,2.5918765763054372e-08
EDIP2003 (obsolete),non-renewable resources,brown coal,5.6796587778628906e-05
EDIP2003 (obsolete),non-renewable resources,coal,3.601940741029052e-05
EDIP2003 (obsolete),non-renewable resources,cobalt,3.760934627791806e-12
EDIP2003 (obsolete),non-renewable resources,natural gas,1.4529309931711571e-05
EDIP2003 (obsolete),non-renewable resources,oil,3.4679242718834896e-06
EDIP2003 (obsolete),photochemical ozone formation,impacts on human health,5.1249348028699617e-08
EDIP2003 (obsolete),photochemical ozone formation,impacts on vegetation,0.0007394515241688451
EDIP2003 (obsolete),renewable resources,wood,1.2434490181777383e-08
EDIP2003 (obsolete),stratospheric ozone depletion,ODP total,2.0021728657598352e-11
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,antimony w/o LT,9.184347511444638e-15
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,cadmium w/o LT,6.640442188784156e-13
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,cerium w/o LT,1.8032709506229316e-12
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,copper w/o LT,4.2105043613048416e-08
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,molybdenum w/o LT,0.0
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,gold w/o LT,1.3162043551308756e-11
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,iron w/o LT,1.2593375873149741e-06
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,lanthanum w/o LT,5.405951392668643e-13
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,lead w/o LT,1.293964543882452e-09
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,manganese w/o LT,6.76950892001559e-09
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,mercury w/o LT,5.698607469518677e-13
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,nickel w/o LT,1.3249513253390124e-08
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,palladium w/o LT,1.3302700938986646e-13
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,platinum w/o LT,1.2373243969019186e-13
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,silver w/o LT,5.948864808132898e-12
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,tantalum w/o LT,6.903552056685118e-13
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,tin w/o LT,2.1541220817102642e-11
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,zinc w/o LT,5.7663761937791776e-09
EDIP2003 w/o LT (obsolete),acidification w/o LT,acidification w/o LT,1.361027758960439e-05
EDIP2003 w/o LT (obsolete),ecotoxicity w/o LT,"acute, in water w/o LT",0.005399834622355683
EDIP2003 w/o LT (obsolete),ecotoxicity w/o LT,"chronic, in soil w/o LT",0.0003146847155575898
EDIP2003 w/o LT (obsolete),ecotoxicity w/o LT,"chronic, in water w/o LT",0.025711776895341078
EDIP2003 w/o LT (obsolete),ecotoxicity w/o LT,in sewage treatment plants w/o LT,0.09602255292716005
EDIP2003 w/o LT (obsolete),eutrophication w/o LT,combined potential w/o LT,1.0427722899430676e-06
EDIP2003 w/o LT (obsolete),eutrophication w/o LT,separate N potential w/o LT,1.1986449563099268e-07
EDIP2003 w/o LT (obsolete),eutrophication w/o LT,separate P potential w/o LT,1.5968043342480003e-08
EDIP2003 w/o LT (obsolete),eutrophication w/o LT,terrestrial eutrophication w/o LT,1.0074909079589894e-05
EDIP2003 w/o LT (obsolete),global warming w/o LT,GWP 100a w/o LT,0.00017164501359831895
EDIP2003 w/o LT (obsolete),global warming w/o LT,GWP 20a w/o LT,0.00018261224031970575
EDIP2003 w/o LT (obsolete),global warming w/o LT,GWP 500a w/o LT,0.00016627765935197384
EDIP2003 w/o LT (obsolete),human toxicity w/o LT,via air w/o LT,48.11264190899294
EDIP2003 w/o LT (obsolete),human toxicity w/o LT,via soil w/o LT,2.1178124522448498e-05
EDIP2003 w/o LT (obsolete),human toxicity w/o LT,via surface water w/o LT,0.0013344767354250054
EDIP2003 w/o LT (obsolete),land filling w/o LT,bulk waste w/o LT,1.7688827546694014e-05
EDIP2003 w/o LT (obsolete),land filling w/o LT,hazardous waste w/o LT,1.3769586067701093e-09
EDIP2003 w/o LT (obsolete),land filling w/o LT,radioactive waste w/o LT,2.5065674246649638e-08
EDIP2003 w/o LT (obsolete),land filling w/o LT,slag and ashes w/o LT,4.414858282971307e-07
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,aluminium w/o LT,2.5918765763054372e-08
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,brown coal w/o LT,5.6796587778628906e-05
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,coal w/o LT,3.601940741029052e-05
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,cobalt w/o LT,3.760934627791806e-12
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,natural gas w/o LT,1.4529309931711571e-05
EDIP2003 w/o LT (obsolete),non-renewable resources w/o LT,oil w/o LT,3.4679242718834896e-06
EDIP2003 w/o LT (obsolete),photochemical ozone formation w/o LT,impacts on human health w/o LT,5.1249330453437996e-08
EDIP2003 w/o LT (obsolete),photochemical ozone formation w/o LT,impacts on vegetation w/o LT,0.0007394512605427346
EDIP2003 w/o LT (obsolete),renewable resources w/o LT,wood w/o LT,1.2434490181777383e-08
EDIP2003 w/o LT (obsolete),stratospheric ozone depletion w/o LT,ODP total w/o LT,2.0020074748300857e-11
EPS 2000 (obsolete),total,abiotic stock resources,3.934042132644976e-05
EPS 2000 (obsolete),total,total,0.00013717370544512653
EPS 2000 (obsolete),total,emissions into air,2.914649945288405e-05
EPS 2000 (obsolete),total,emissions into soil,4.167499024889249e-12
EPS 2000 (obsolete),total,emissions into water,-3.63675954432009e-10
EPS 2000 (obsolete),total,land occupation,1.0029145168486158e-07
ILCD 1.0.8 2016 midpoint (obsolete),resources,"mineral, fossils and renewables",1.362697295760953e-09
ILCD 1.0.8 2016 midpoint no LT (obsolete),resources,"mineral, fossils and renewables",1.362697295760953e-09
ILCD 1.0.8 2016 midpoint (obsolete),climate change,GWP 100a,0.00017241860904625264
ILCD 1.0.8 2016 midpoint (obsolete),ecosystem quality,freshwater and terrestrial acidification,9.819758551032023e-07
ILCD 1.0.8 2016 midpoint (obsolete),ecosystem quality,freshwater ecotoxicity,0.002607418312599898
ILCD 1.0.8 2016 midpoint (obsolete),ecosystem quality,freshwater eutrophication,1.6914311708071684e-07
ILCD 1.0.8 2016 midpoint (obsolete),ecosystem quality,ionising radiation,2.398023071015076e-10
ILCD 1.0.8 2016 midpoint (obsolete),ecosystem quality,marine eutrophication,1.7151927703754332e-07
ILCD 1.0.8 2016 midpoint (obsolete),ecosystem quality,terrestrial eutrophication,1.63484933176586e-06
ILCD 1.0.8 2016 midpoint (obsolete),human health,carcinogenic effects,1.5066858607277547e-11
ILCD 1.0.8 2016 midpoint (obsolete),human health,ionising radiation,9.282547229170448e-05
ILCD 1.0.8 2016 midpoint (obsolete),human health,non-carcinogenic effects,5.965001575155243e-11
ILCD 1.0.8 2016 midpoint (obsolete),human health,ozone layer depletion,2.001934072330772e-11
ILCD 1.0.8 2016 midpoint (obsolete),human health,photochemical ozone creation,4.100134176314394e-07
ILCD 1.0.8 2016 midpoint (obsolete),human health,"respiratory effects, inorganics",7.431420483256284e-08
ILCD 1.0.8 2016 midpoint (obsolete),resources,land use,0.0002176562333794213
cumulative exergy demand,metals,"non-renewable material resources, metals",7.3244383798762565e-06
ILCD 1.0.8 2016 midpoint no LT (obsolete),climate change,GWP 100a,0.0001724185704576207
ILCD 1.0.8 2016 midpoint no LT (obsolete),ecosystem quality,freshwater and terrestrial acidification,9.819739972856245e-07
ILCD 1.0.8 2016 midpoint no LT (obsolete),ecosystem quality,freshwater ecotoxicity,5.465221198951751e-05
ILCD 1.0.8 2016 midpoint no LT (obsolete),ecosystem quality,freshwater eutrophication,1.8356241850061758e-08
ILCD 1.0.8 2016 midpoint no LT (obsolete),ecosystem quality,ionising radiation,2.398023071015076e-10
ILCD 1.0.8 2016 midpoint no LT (obsolete),ecosystem quality,marine eutrophication,1.3402202891315017e-07
ILCD 1.0.8 2016 midpoint no LT (obsolete),ecosystem quality,terrestrial eutrophication,1.634796099050475e-06
ILCD 1.0.8 2016 midpoint no LT (obsolete),human health,carcinogenic effects,1.6916654835700645e-12
ILCD 1.0.8 2016 midpoint no LT (obsolete),human health,ionising radiation,3.036589525088277e-05
ILCD 1.0.8 2016 midpoint no LT (obsolete),human health,non-carcinogenic effects,1.972576241829502e-11
ILCD 1.0.8 2016 midpoint no LT (obsolete),human health,ozone layer depletion,2.0017686814010224e-11
ILCD 1.0.8 2016 midpoint no LT (obsolete),human health,photochemical ozone creation,4.1001327117986746e-07
ILCD 1.0.8 2016 midpoint no LT (obsolete),human health,"respiratory effects, inorganics",7.312101470016784e-08
ILCD 1.0.8 2016 midpoint no LT (obsolete),resources,land use,0.0002176562333794213
IMPACT 2002+ (Endpoint) (obsolete),resources,mineral extraction,1.2768020599887965e-11
IMPACT 2002+ (Endpoint) (obsolete),resources,total,2.4722204967501368e-08
IMPACT 2002+ (Endpoint) (obsolete),climate change,climate change,1.673405471868772e-08
IMPACT 2002+ (Endpoint) (obsolete),climate change,total,1.673405471868772e-08
IMPACT 2002+ (Endpoint) (obsolete),ecosystem quality,aquatic ecotoxicity,4.2040364893490766e-11
IMPACT 2002+ (Endpoint) (obsolete),ecosystem quality,land occupation,2.683803663428012e-10
IMPACT 2002+ (Endpoint) (obsolete),ecosystem quality,terrestrial acidification & nutrification,1.9693710175721312e-10
IMPACT 2002+ (Endpoint) (obsolete),ecosystem quality,terrestrial ecotoxicity,1.5922729041416993e-09
IMPACT 2002+ (Endpoint) (obsolete),ecosystem quality,total,2.099630720825032e-09
IMPACT 2002+ (Endpoint) (obsolete),human health,human toxicity,1.9876538335742153e-09
IMPACT 2002+ (Endpoint) (obsolete),human health,ionising radiation,1.3133356038856045e-08
IMPACT 2002+ (Endpoint) (obsolete),human health,ozone layer depletion,2.9608990271789043e-12
IMPACT 2002+ (Endpoint) (obsolete),human health,photochemical oxidation,6.614788396858575e-12
IMPACT 2002+ (Endpoint) (obsolete),human health,respiratory effects (inorganics),1.5957672311143932e-08
IMPACT 2002+ (Endpoint) (obsolete),human health,total,3.108825787505244e-08
IMPACT 2002+ (Endpoint) (obsolete),resources,non-renewable energy,2.470943694690148e-08
IMPACT 2002+ (Midpoint) (obsolete),ecosystem quality,aquatic acidification,8.042046099557927e-07
IMPACT 2002+ (Midpoint) (obsolete),ecosystem quality,aquatic eutrophication,2.506119273855026e-09
IPCC 2001 (obsolete),climate change,GWP 100a,0.00017187555202700347
IPCC 2001 (obsolete),climate change,GWP 20a,0.00018284290591412232
IPCC 2001 (obsolete),climate change,GWP 500a,0.00016650812545103316
IPCC 2007 (obsolete),climate change,GWP 100a,0.00017241786044147714
IPCC 2007 (obsolete),climate change,GWP 20a,0.00018585523783496064
IPCC 2007 (obsolete),climate change,GWP 500a,0.00016658276824606176
IPCC 2007 no LT (obsolete),climate change,GWP 100a,0.0001724178165318574
IPCC 2007 no LT (obsolete),climate change,GWP 20a,0.00018585519410647134
IPCC 2007 no LT (obsolete),climate change,GWP 500a,0.00016658274385255342
"ReCiPe Endpoint (E,A) (obsolete)",resources,metal depletion,7.836839350628182e-07
"ReCiPe Endpoint (E,A) (obsolete)",resources,total,6.806998296350585e-06
"ReCiPe Endpoint (E,A) (obsolete)",total,total,5.476201992844759e-05
"ReCiPe Endpoint (E,A) (obsolete)",ecosystem quality,agricultural land occupation,4.455720774442016e-07
"ReCiPe Endpoint (E,A) (obsolete)",ecosystem quality,"climate change, ecosystems",4.529038644974506e-06
"ReCiPe Endpoint (E,A) (obsolete)",ecosystem quality,freshwater ecotoxicity,3.166947187800271e-09
"ReCiPe Endpoint (E,A) (obsolete)",ecosystem quality,freshwater eutrophication,1.1103671390444693e-08
"ReCiPe Endpoint (E,A) (obsolete)",ecosystem quality,marine ecotoxicity,1.0128236851275773e-06
"ReCiPe Endpoint (E,A) (obsolete)",ecosystem quality,natural land transformation,2.779669268346088e-06
"ReCiPe Endpoint (E,A) (obsolete)",ecosystem quality,terrestrial acidification,1.669132272541161e-08
"ReCiPe Endpoint (E,A) (obsolete)",ecosystem quality,terrestrial ecotoxicity,1.9512408722637203e-08
"ReCiPe Endpoint (E,A) (obsolete)",ecosystem quality,total,8.877595621056936e-06
"ReCiPe Endpoint (E,A) (obsolete)",ecosystem quality,urban land occupation,6.001759952736336e-08
"ReCiPe Endpoint (E,A) (obsolete)",human health,"climate change, human health",5.69817115697892e-06
"ReCiPe Endpoint (E,A) (obsolete)",human health,human toxicity,3.264223452959773e-05
"ReCiPe Endpoint (E,A) (obsolete)",human health,ionising radiation,1.4864260876967833e-08
"ReCiPe Endpoint (E,A) (obsolete)",human health,ozone depletion,4.179496345456724e-10
"ReCiPe Endpoint (E,A) (obsolete)",human health,particulate matter formation,7.078173771128023e-07
"ReCiPe Endpoint (E,A) (obsolete)",human health,photochemical oxidant formation,1.3920862309831057e-08
"ReCiPe Endpoint (E,A) (obsolete)",human health,total,3.9077426134544e-05
"ReCiPe Endpoint (E,A) (obsolete)",resources,fossil depletion,6.023314361287767e-06
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",resources w/o LT,metal depletion w/o LT,7.836839350628182e-07
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",resources w/o LT,total w/o LT,6.806998296350585e-06
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",total w/o LT,total w/o LT,2.3758961065292983e-05
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",ecosystem quality w/o LT,agricultural land occupation w/o LT,4.455720774442016e-07
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",ecosystem quality w/o LT,"climate change, ecosystems w/o LT",4.529037981035728e-06
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",ecosystem quality w/o LT,freshwater ecotoxicity w/o LT,6.256639488490536e-11
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",ecosystem quality w/o LT,freshwater eutrophication w/o LT,1.2051984509512342e-09
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",ecosystem quality w/o LT,marine ecotoxicity w/o LT,2.9015291026373518e-08
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",ecosystem quality w/o LT,natural land transformation w/o LT,2.779669268346088e-06
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",ecosystem quality w/o LT,terrestrial acidification w/o LT,2.550017034852237e-08
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",ecosystem quality w/o LT,terrestrial ecotoxicity w/o LT,1.7276119193789694e-08
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",ecosystem quality w/o LT,total w/o LT,7.887356272454988e-06
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",ecosystem quality w/o LT,urban land occupation w/o LT,6.001759952736336e-08
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",human health w/o LT,"climate change, human health w/o LT",5.698170321650009e-06
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",human health w/o LT,human toxicity w/o LT,2.6446546510739902e-06
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",human health w/o LT,ionising radiation w/o LT,4.861961800819742e-09
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",human health w/o LT,ozone depletion w/o LT,4.1792128323216663e-10
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",human health w/o LT,particulate matter formation w/o LT,7.025810949228218e-07
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",human health w/o LT,photochemical oxidant formation w/o LT,1.3920860991854661e-08
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",human health w/o LT,total w/o LT,9.064606809754913e-06
"ReCiPe Endpoint (E,A) w/o LT (obsolete)",resources w/o LT,fossil depletion w/o LT,6.023314361287767e-06
"ReCiPe Endpoint (H,A) (obsolete)",resources,metal depletion,7.836839350628182e-07
"ReCiPe Endpoint (H,A) (obsolete)",resources,total,6.806998296350585e-06
"ReCiPe Endpoint (H,A) (obsolete)",total,total,1.861610407101929e-05
"ReCiPe Endpoint (H,A) (obsolete)",ecosystem quality,agricultural land occupation,6.83716160169195e-07
"ReCiPe Endpoint (H,A) (obsolete)",ecosystem quality,"climate change, ecosystems",3.0179813582843376e-06
"ReCiPe Endpoint (H,A) (obsolete)",ecosystem quality,freshwater ecotoxicity,4.793118086487517e-09
"ReCiPe Endpoint (H,A) (obsolete)",ecosystem quality,freshwater eutrophication,1.7025833848492126e-08
"ReCiPe Endpoint (H,A) (obsolete)",ecosystem quality,marine ecotoxicity,9.684504492292886e-10
"ReCiPe Endpoint (H,A) (obsolete)",ecosystem quality,natural land transformation,7.042125791358774e-08
"ReCiPe Endpoint (H,A) (obsolete)",ecosystem quality,terrestrial acidification,9.617419967231032e-09
"ReCiPe Endpoint (H,A) (obsolete)",ecosystem quality,terrestrial ecotoxicity,2.0421137526780742e-09
"ReCiPe Endpoint (H,A) (obsolete)",ecosystem quality,total,3.897751832858524e-06
"ReCiPe Endpoint (H,A) (obsolete)",ecosystem quality,urban land occupation,9.118612042224425e-08
"ReCiPe Endpoint (H,A) (obsolete)",human health,"climate change, human health",4.774823305491755e-06
"ReCiPe Endpoint (H,A) (obsolete)",human health,human toxicity,1.636504698961323e-06
"ReCiPe Endpoint (H,A) (obsolete)",human health,ionising radiation,3.0277373618276596e-08
"ReCiPe Endpoint (H,A) (obsolete)",human health,ozone depletion,8.513458853668295e-10
"ReCiPe Endpoint (H,A) (obsolete)",human health,particulate matter formation,1.4462100844949148e-06
"ReCiPe Endpoint (H,A) (obsolete)",human health,photochemical oxidant formation,2.268743655994453e-08
"ReCiPe Endpoint (H,A) (obsolete)",human health,total,7.91135423013976e-06
"ReCiPe Endpoint (H,A) (obsolete)",resources,fossil depletion,6.023314361287767e-06
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",resources w/o LT,metal depletion w/o LT,7.836839350628182e-07
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",resources w/o LT,total w/o LT,6.806998296350585e-06
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",total w/o LT,total w/o LT,1.7125849473507076e-05
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",ecosystem quality w/o LT,agricultural land occupation w/o LT,6.83716160169195e-07
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",ecosystem quality w/o LT,"climate change, ecosystems w/o LT",3.017980588878321e-06
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",ecosystem quality w/o LT,freshwater ecotoxicity w/o LT,7.702919588568545e-11
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",ecosystem quality w/o LT,freshwater eutrophication w/o LT,1.8479923551398127e-09
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",ecosystem quality w/o LT,marine ecotoxicity w/o LT,3.8760862949929754e-11
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",ecosystem quality w/o LT,natural land transformation w/o LT,7.042125791358774e-08
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",ecosystem quality w/o LT,terrestrial acidification w/o LT,1.3734296514400175e-08
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",ecosystem quality w/o LT,terrestrial ecotoxicity w/o LT,1.9336386069030934e-09
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",ecosystem quality w/o LT,total w/o LT,3.88093584489572e-06
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",ecosystem quality w/o LT,urban land occupation w/o LT,9.118612042224425e-08
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",human health w/o LT,"climate change, human health w/o LT",4.774822088195382e-06
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",human health w/o LT,human toxicity w/o LT,2.0839162567188474e-07
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",human health w/o LT,ionising radiation w/o LT,9.903496380423534e-09
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",human health w/o LT,ozone depletion w/o LT,8.512881341631909e-10
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",human health w/o LT,particulate matter formation w/o LT,1.4212597431693382e-06
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",human health w/o LT,photochemical oxidant formation w/o LT,2.2687433885158068e-08
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",human health w/o LT,total w/o LT,6.437915656311017e-06
"ReCiPe Endpoint (H,A) w/o LT (obsolete)",resources w/o LT,fossil depletion w/o LT,6.023314361287767e-06
"ReCiPe Endpoint (I,A) (obsolete)",resources,metal depletion,7.091897988098786e-07
"ReCiPe Endpoint (I,A) (obsolete)",resources,total,6.7208589269639055e-06
"ReCiPe Endpoint (I,A) (obsolete)",total,total,1.615072603014395e-05
"ReCiPe Endpoint (I,A) (obsolete)",ecosystem quality,agricultural land occupation,3.9610686619214395e-07
"ReCiPe Endpoint (I,A) (obsolete)",ecosystem quality,"climate change, ecosystems",3.165981076453398e-06
"ReCiPe Endpoint (I,A) (obsolete)",ecosystem quality,freshwater ecotoxicity,4.664067182391213e-09
"ReCiPe Endpoint (I,A) (obsolete)",ecosystem quality,freshwater eutrophication,1.6443047717729416e-08
"ReCiPe Endpoint (I,A) (obsolete)",ecosystem quality,marine ecotoxicity,7.567776604951256e-10
"ReCiPe Endpoint (I,A) (obsolete)",ecosystem quality,natural land transformation,6.096728233530724e-08
"ReCiPe Endpoint (I,A) (obsolete)",ecosystem quality,terrestrial acidification,2.349330500659115e-09
"ReCiPe Endpoint (I,A) (obsolete)",ecosystem quality,terrestrial ecotoxicity,1.9835049515122003e-09
"ReCiPe Endpoint (I,A) (obsolete)",ecosystem quality,total,3.724674130625227e-06
"ReCiPe Endpoint (I,A) (obsolete)",ecosystem quality,urban land occupation,7.542217771724319e-08
"ReCiPe Endpoint (I,A) (obsolete)",human health,"climate change, human health",4.208569174208832e-06
"ReCiPe Endpoint (I,A) (obsolete)",human health,human toxicity,9.343738603500415e-08
"ReCiPe Endpoint (I,A) (obsolete)",human health,ionising radiation,2.1063303975904492e-08
"ReCiPe Endpoint (I,A) (obsolete)",human health,ozone depletion,1.9378516740450406e-10
"ReCiPe Endpoint (I,A) (obsolete)",human health,particulate matter formation,1.381929186911743e-06
"ReCiPe Endpoint (I,A) (obsolete)",human health,photochemical oxidant formation,1.3632106697832438e-13
"ReCiPe Endpoint (I,A) (obsolete)",human health,total,5.705192967676437e-06
"ReCiPe Endpoint (I,A) (obsolete)",resources,fossil depletion,6.011669128154027e-06
ReCiPe Midpoint (E) (obsolete),metal depletion,MDP,5.565245110873783e-06
ReCiPe Midpoint (E) (obsolete),agricultural land occupation,ALOP,1.8217309494262472e-05
ReCiPe Midpoint (E) (obsolete),climate change,GWP500,0.00016639995006827076
ReCiPe Midpoint (E) (obsolete),fossil depletion,FDP,5.023022374294465e-05
ReCiPe Midpoint (E) (obsolete),freshwater ecotoxicity,FETPinf,5.35432273233151e-06
ReCiPe Midpoint (E) (obsolete),freshwater eutrophication,FEP,1.6914327723845006e-07
ReCiPe Midpoint (E) (obsolete),human toxicity,HTPinf,0.004812501791379771
ReCiPe Midpoint (E) (obsolete),ionising radiation,IRP_HE,9.30552556549911e-05
ReCiPe Midpoint (E) (obsolete),marine ecotoxicity,METPinf,0.004703779734229169
ReCiPe Midpoint (E) (obsolete),marine eutrophication,MEP,1.7172417569121873e-07
ReCiPe Midpoint (E) (obsolete),natural land transformation,NLTP,2.307255166140848e-08
ReCiPe Midpoint (E) (obsolete),ozone depletion,ODPinf,2.002902048111622e-11
ReCiPe Midpoint (E) (obsolete),particulate matter formation,PMFP,2.7904339230382157e-07
ReCiPe Midpoint (E) (obsolete),photochemical oxidant formation,POFP,4.161204790097833e-07
ReCiPe Midpoint (E) (obsolete),terrestrial acidification,TAP500,8.073226809409887e-07
ReCiPe Midpoint (E) (obsolete),terrestrial ecotoxicity,TETPinf,9.195599733743648e-08
ReCiPe Midpoint (E) (obsolete),urban land occupation,ULOP,1.991265236996335e-06
ReCiPe Midpoint (E) (obsolete),water depletion,WDP,0.0010010160264402642
ReCiPe Midpoint (E) w/o LT (obsolete),metal depletion w/o LT,MDP w/o LT,5.565245110873783e-06
ReCiPe Midpoint (E) w/o LT (obsolete),agricultural land occupation w/o LT,ALOP w/o LT,1.813522915387161e-05
ReCiPe Midpoint (E) w/o LT (obsolete),climate change w/o LT,GWP500 w/o LT,0.00016639994076687786
ReCiPe Midpoint (E) w/o LT (obsolete),fossil depletion w/o LT,FDP w/o LT,4.7033044446724596e-05
ReCiPe Midpoint (E) w/o LT (obsolete),freshwater ecotoxicity w/o LT,FETPinf w/o LT,5.3028600968258075e-08
ReCiPe Midpoint (E) w/o LT (obsolete),freshwater eutrophication w/o LT,FEP w/o LT,1.835634599567254e-08
ReCiPe Midpoint (E) w/o LT (obsolete),human toxicity w/o LT,HTPinf w/o LT,0.0003963280585364435
ReCiPe Midpoint (E) w/o LT (obsolete),ionising radiation w/o LT,IRP_HE w/o LT,3.0436726401578738e-05
ReCiPe Midpoint (E) w/o LT (obsolete),marine ecotoxicity w/o LT,METPinf w/o LT,0.00012124622055829511
ReCiPe Midpoint (E) w/o LT (obsolete),marine eutrophication w/o LT,MEP w/o LT,1.7589753785260983e-08
ReCiPe Midpoint (E) w/o LT (obsolete),natural land transformation w/o LT,NLTP w/o LT,2.2789494839256654e-08
ReCiPe Midpoint (E) w/o LT (obsolete),ozone depletion w/o LT,ODPinf w/o LT,2.002975450610936e-11
ReCiPe Midpoint (E) w/o LT (obsolete),particulate matter formation w/o LT,PMFP w/o LT,2.760523713063985e-07
ReCiPe Midpoint (E) w/o LT (obsolete),photochemical oxidant formation w/o LT,POFP w/o LT,4.161145628608576e-07
ReCiPe Midpoint (E) w/o LT (obsolete),terrestrial acidification w/o LT,TAP500 w/o LT,8.072799874743185e-07
ReCiPe Midpoint (E) w/o LT (obsolete),terrestrial ecotoxicity w/o LT,TETPinf w/o LT,8.022946108417669e-08
