TIME,GEO,Meat,,,Value,
2012,Latvia,Poultry meat,Slaughterings,Thousand tonnes,24.49,p
2012,Latvia,Poultry meat,Slaughterings,Thousand heads (animals),15 154.94,p
2012,Latvia,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Latvia,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Lithuania,Bovine meat,Slaughterings,Thousand tonnes,39.95,
2012,Lithuania,Bovine meat,Slaughterings,Thousand heads (animals),164.76,
2012,Lithuania,Pigmeat,Slaughterings,Thousand tonnes,58.86,
2012,Lithuania,Pigmeat,Slaughterings,Thousand heads (animals),751.38,
2012,Lithuania,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.1,
2012,Lithuania,Meat of sheep and goats,Slaughterings,Thousand heads (animals),5.19,
,,,,,,
,,,,,,
2012,Lithuania,Poultry meat,Slaughterings,Thousand tonnes,81.76,
2012,Lithuania,Poultry meat,Slaughterings,Thousand heads (animals),44 914.47,
2012,Lithuania,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Lithuania,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Luxembourg,Bovine meat,Slaughterings,Thousand tonnes,8.47,
2012,Luxembourg,Bovine meat,Slaughterings,Thousand heads (animals),23.49,
2012,Luxembourg,Pigmeat,Slaughterings,Thousand tonnes,10.35,
2012,Luxembourg,Pigmeat,Slaughterings,Thousand heads (animals),138.34,
2012,Luxembourg,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.04,
2012,Luxembourg,Meat of sheep and goats,Slaughterings,Thousand heads (animals),2.14,
,,,,,,
,,,,,,
2012,Luxembourg,Poultry meat,Slaughterings,Thousand tonnes,0,
2012,Luxembourg,Poultry meat,Slaughterings,Thousand heads (animals),0,
2012,Luxembourg,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Luxembourg,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Hungary,Bovine meat,Slaughterings,Thousand tonnes,24.71,
2012,Hungary,Bovine meat,Slaughterings,Thousand heads (animals),94.48,
2012,Hungary,Pigmeat,Slaughterings,Thousand tonnes,345.93,
2012,Hungary,Pigmeat,Slaughterings,Thousand heads (animals),3 836.04,
2012,Hungary,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.23,
2012,Hungary,Meat of sheep and goats,Slaughterings,Thousand heads (animals),12.63,
,,,,,,
,,,,,,
2012,Hungary,Poultry meat,Slaughterings,Thousand tonnes,412.2,
2012,Hungary,Poultry meat,Slaughterings,Thousand heads (animals),168 108.30,
2012,Hungary,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Hungary,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Malta,Bovine meat,Slaughterings,Thousand tonnes,1.11,
2012,Malta,Bovine meat,Slaughterings,Thousand heads (animals),4.08,
2012,Malta,Pigmeat,Slaughterings,Thousand tonnes,5.67,
2012,Malta,Pigmeat,Slaughterings,Thousand heads (animals),68.69,
2012,Malta,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.1,
2012,Malta,Meat of sheep and goats,Slaughterings,Thousand heads (animals),4.71,
,,,,,,
,,,,,,
2012,Malta,Poultry meat,Slaughterings,Thousand tonnes,4.25,
2012,Malta,Poultry meat,Slaughterings,Thousand heads (animals),2 562.36,
2012,Malta,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Malta,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Netherlands,Bovine meat,Slaughterings,Thousand tonnes,373.44,
2012,Netherlands,Bovine meat,Slaughterings,Thousand heads (animals),1 933.40,
2012,Netherlands,Pigmeat,Slaughterings,Thousand tonnes,1 331.73,
2012,Netherlands,Pigmeat,Slaughterings,Thousand heads (animals),14 317.70,
2012,Netherlands,Meat of sheep and goats,Slaughterings,Thousand tonnes,14.6,
2012,Netherlands,Meat of sheep and goats,Slaughterings,Thousand heads (animals),705.18,
,,,,,,
,,,,,,
2012,Netherlands,Poultry meat,Slaughterings,Thousand tonnes,:,c
2012,Netherlands,Poultry meat,Slaughterings,Thousand heads (animals),:,c
2012,Netherlands,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Netherlands,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Austria,Bovine meat,Slaughterings,Thousand tonnes,221.12,
2012,Austria,Bovine meat,Slaughterings,Thousand heads (animals),679.77,
2012,Austria,Pigmeat,Slaughterings,Thousand tonnes,529.76,
2012,Austria,Pigmeat,Slaughterings,Thousand heads (animals),5 433.32,
2012,Austria,Meat of sheep and goats,Slaughterings,Thousand tonnes,8.37,
2012,Austria,Meat of sheep and goats,Slaughterings,Thousand heads (animals),390,
,,,,,,
,,,,,,
2012,Austria,Poultry meat,Slaughterings,Thousand tonnes,:,c
2012,Austria,Poultry meat,Slaughterings,Thousand heads (animals),:,c
2012,Austria,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Austria,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Poland,Bovine meat,Slaughterings,Thousand tonnes,371,
2012,Poland,Bovine meat,Slaughterings,Thousand heads (animals),1 456.50,
2012,Poland,Pigmeat,Slaughterings,Thousand tonnes,1 695.20,
2012,Poland,Pigmeat,Slaughterings,Thousand heads (animals),19 215.80,
2012,Poland,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.7,
2012,Poland,Meat of sheep and goats,Slaughterings,Thousand heads (animals),39.6,
,,,,,,
,,,,,,
2012,Poland,Poultry meat,Slaughterings,Thousand tonnes,1 548.80,
2012,Poland,Poultry meat,Slaughterings,Thousand heads (animals),781 620.80,
2012,Poland,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Poland,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Portugal,Bovine meat,Slaughterings,Thousand tonnes,92.99,
2012,Portugal,Bovine meat,Slaughterings,Thousand heads (animals),408.69,
2012,Portugal,Pigmeat,Slaughterings,Thousand tonnes,362.34,
2012,Portugal,Pigmeat,Slaughterings,Thousand heads (animals),5 526.35,
2012,Portugal,Meat of sheep and goats,Slaughterings,Thousand tonnes,10.63,
2012,Portugal,Meat of sheep and goats,Slaughterings,Thousand heads (animals),995.66,
,,,,,,
,,,,,,
2012,Portugal,Poultry meat,Slaughterings,Thousand tonnes,292.16,
2012,Portugal,Poultry meat,Slaughterings,Thousand heads (animals),195 517.45,
2012,Portugal,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Portugal,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Romania,Bovine meat,Slaughterings,Thousand tonnes,28.82,
2012,Romania,Bovine meat,Slaughterings,Thousand heads (animals),135.88,
2012,Romania,Pigmeat,Slaughterings,Thousand tonnes,282.09,
2012,Romania,Pigmeat,Slaughterings,Thousand heads (animals),3 473.58,
2012,Romania,Meat of sheep and goats,Slaughterings,Thousand tonnes,:,c
2012,Romania,Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,c
,,,,,,
,,,,,,
2012,Romania,Poultry meat,Slaughterings,Thousand tonnes,312.73,
2012,Romania,Poultry meat,Slaughterings,Thousand heads (animals),198 507.66,
2012,Romania,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Romania,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Slovenia,Bovine meat,Slaughterings,Thousand tonnes,33.09,
2012,Slovenia,Bovine meat,Slaughterings,Thousand heads (animals),115.71,
2012,Slovenia,Pigmeat,Slaughterings,Thousand tonnes,21.03,
2012,Slovenia,Pigmeat,Slaughterings,Thousand heads (animals),252.51,
2012,Slovenia,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.11,
2012,Slovenia,Meat of sheep and goats,Slaughterings,Thousand heads (animals),9.29,
,,,,,,
,,,,,,
2012,Slovenia,Poultry meat,Slaughterings,Thousand tonnes,58.66,
2012,Slovenia,Poultry meat,Slaughterings,Thousand heads (animals),32 040.64,
2012,Slovenia,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Slovenia,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Slovakia,Bovine meat,Slaughterings,Thousand tonnes,9.76,
2012,Slovakia,Bovine meat,Slaughterings,Thousand heads (animals),36.81,
2012,Slovakia,Pigmeat,Slaughterings,Thousand tonnes,54.16,
2012,Slovakia,Pigmeat,Slaughterings,Thousand heads (animals),604.3,
2012,Slovakia,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.56,
2012,Slovakia,Meat of sheep and goats,Slaughterings,Thousand heads (animals),80.46,
,,,,,,
,,,,,,
2012,Slovakia,Poultry meat,Slaughterings,Thousand tonnes,:,c
2012,Slovakia,Poultry meat,Slaughterings,Thousand heads (animals),:,c
2012,Slovakia,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Slovakia,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Finland,Bovine meat,Slaughterings,Thousand tonnes,80.37,
2012,Finland,Bovine meat,Slaughterings,Thousand heads (animals),264.44,
2012,Finland,Pigmeat,Slaughterings,Thousand tonnes,192.82,
2012,Finland,Pigmeat,Slaughterings,Thousand heads (animals),2 142.23,
2012,Finland,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.88,
2012,Finland,Meat of sheep and goats,Slaughterings,Thousand heads (animals),45.05,
,,,,,,
,,,,,,
2012,Finland,Poultry meat,Slaughterings,Thousand tonnes,107.41,
2012,Finland,Poultry meat,Slaughterings,Thousand heads (animals),60 881.29,
2012,Finland,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Finland,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Sweden,Bovine meat,Slaughterings,Thousand tonnes,135.25,
2012,Sweden,Bovine meat,Slaughterings,Thousand heads (animals),455.33,
2012,Sweden,Pigmeat,Slaughterings,Thousand tonnes,232.97,
2012,Sweden,Pigmeat,Slaughterings,Thousand heads (animals),2 585.67,
2012,Sweden,Meat of sheep and goats,Slaughterings,Thousand tonnes,5.04,
2012,Sweden,Meat of sheep and goats,Slaughterings,Thousand heads (animals),261.07,
,,,,,,
,,,,,,
2012,Sweden,Poultry meat,Slaughterings,Thousand tonnes,116.31,
2012,Sweden,Poultry meat,Slaughterings,Thousand heads (animals),80 403.03,
2012,Sweden,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Sweden,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,United Kingdom,Bovine meat,Slaughterings,Thousand tonnes,882.56,
2012,United Kingdom,Bovine meat,Slaughterings,Thousand heads (animals),2 672.53,
2012,United Kingdom,Pigmeat,Slaughterings,Thousand tonnes,824.64,
2012,United Kingdom,Pigmeat,Slaughterings,Thousand heads (animals),10 298.97,
2012,United Kingdom,Meat of sheep and goats,Slaughterings,Thousand tonnes,276.06,
2012,United Kingdom,Meat of sheep and goats,Slaughterings,Thousand heads (animals),13 781.69,
,,,,,,
,,,,,,
2012,United Kingdom,Poultry meat,Slaughterings,Thousand tonnes,1 607.94,
2012,United Kingdom,Poultry meat,Slaughterings,Thousand heads (animals),951 284.29,
2012,United Kingdom,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,United Kingdom,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Iceland,Bovine meat,Slaughterings,Thousand tonnes,3.9,
2012,Iceland,Bovine meat,Slaughterings,Thousand heads (animals),22,
2012,Iceland,Pigmeat,Slaughterings,Thousand tonnes,5.9,
2012,Iceland,Pigmeat,Slaughterings,Thousand heads (animals),73.4,
2012,Iceland,Meat of sheep and goats,Slaughterings,Thousand tonnes,9.9,
2012,Iceland,Meat of sheep and goats,Slaughterings,Thousand heads (animals),583.3,
,,,,,,
,,,,,,
2012,Iceland,Poultry meat,Slaughterings,Thousand tonnes,7.8,
2012,Iceland,Poultry meat,Slaughterings,Thousand heads (animals),5 010.60,
2012,Iceland,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Iceland,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Switzerland,Bovine meat,Slaughterings,Thousand tonnes,:,
2012,Switzerland,Bovine meat,Slaughterings,Thousand heads (animals),:,
2012,Switzerland,Pigmeat,Slaughterings,Thousand tonnes,:,
2012,Switzerland,Pigmeat,Slaughterings,Thousand heads (animals),:,
2012,Switzerland,Meat of sheep and goats,Slaughterings,Thousand tonnes,:,
2012,Switzerland,Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,
,,,,,,
,,,,,,
2012,Switzerland,Poultry meat,Slaughterings,Thousand tonnes,:,
2012,Switzerland,Poultry meat,Slaughterings,Thousand heads (animals),:,
2012,Switzerland,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Switzerland,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Montenegro,Bovine meat,Slaughterings,Thousand tonnes,:,
2012,Montenegro,Bovine meat,Slaughterings,Thousand heads (animals),:,
2012,Montenegro,Pigmeat,Slaughterings,Thousand tonnes,:,
2012,Montenegro,Pigmeat,Slaughterings,Thousand heads (animals),:,
2012,Montenegro,Meat of sheep and goats,Slaughterings,Thousand tonnes,:,
2012,Montenegro,Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,
,,,,,,
,,,,,,
2012,Montenegro,Poultry meat,Slaughterings,Thousand tonnes,:,
2012,Montenegro,Poultry meat,Slaughterings,Thousand heads (animals),:,
2012,Montenegro,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Montenegro,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Albania,Bovine meat,Slaughterings,Thousand tonnes,:,
2012,Albania,Bovine meat,Slaughterings,Thousand heads (animals),:,
2012,Albania,Pigmeat,Slaughterings,Thousand tonnes,:,
2012,Albania,Pigmeat,Slaughterings,Thousand heads (animals),:,
2012,Albania,Meat of sheep and goats,Slaughterings,Thousand tonnes,:,
2012,Albania,Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,
,,,,,,
,,,,,,
2012,Albania,Poultry meat,Slaughterings,Thousand tonnes,:,
2012,Albania,Poultry meat,Slaughterings,Thousand heads (animals),:,
2012,Albania,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Albania,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Serbia,Bovine meat,Slaughterings,Thousand tonnes,34.98,
2012,Serbia,Bovine meat,Slaughterings,Thousand heads (animals),143.34,
2012,Serbia,Pigmeat,Slaughterings,Thousand tonnes,128.27,
2012,Serbia,Pigmeat,Slaughterings,Thousand heads (animals),1 714.01,
2012,Serbia,Meat of sheep and goats,Slaughterings,Thousand tonnes,1.37,
2012,Serbia,Meat of sheep and goats,Slaughterings,Thousand heads (animals),42.79,
,,,,,,
,,,,,,
2012,Serbia,Poultry meat,Slaughterings,Thousand tonnes,54.73,
2012,Serbia,Poultry meat,Slaughterings,Thousand heads (animals),35 155.59,
2012,Serbia,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Serbia,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Turkey,Bovine meat,Slaughterings,Thousand tonnes,:,
2012,Turkey,Bovine meat,Slaughterings,Thousand heads (animals),:,
2012,Turkey,Pigmeat,Slaughterings,Thousand tonnes,:,
2012,Turkey,Pigmeat,Slaughterings,Thousand heads (animals),:,
2012,Turkey,Meat of sheep and goats,Slaughterings,Thousand tonnes,:,
2012,Turkey,Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,
,,,,,,
,,,,,,
2012,Turkey,Poultry meat,Slaughterings,Thousand tonnes,1 723.92,
2012,Turkey,Poultry meat,Slaughterings,Thousand heads (animals),1 047 783.00,
2012,Turkey,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Turkey,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Bosnia and Herzegovina,Bovine meat,Slaughterings,Thousand tonnes,:,
2012,Bosnia and Herzegovina,Bovine meat,Slaughterings,Thousand heads (animals),:,
2012,Bosnia and Herzegovina,Pigmeat,Slaughterings,Thousand tonnes,:,
2012,Bosnia and Herzegovina,Pigmeat,Slaughterings,Thousand heads (animals),:,
2012,Bosnia and Herzegovina,Meat of sheep and goats,Slaughterings,Thousand tonnes,:,
2012,Bosnia and Herzegovina,Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,
,,,,,,
,,,,,,
2012,Bosnia and Herzegovina,Poultry meat,Slaughterings,Thousand tonnes,:,
2012,Bosnia and Herzegovina,Poultry meat,Slaughterings,Thousand heads (animals),:,
2012,Bosnia and Herzegovina,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Bosnia and Herzegovina,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2012,Kosovo (under United Nations Security Council Resolution 1244/99),Bovine meat,Slaughterings,Thousand tonnes,:,
2012,Kosovo (under United Nations Security Council Resolution 1244/99),Bovine meat,Slaughterings,Thousand heads (animals),:,
2012,Kosovo (under United Nations Security Council Resolution 1244/99),Pigmeat,Slaughterings,Thousand tonnes,:,
2012,Kosovo (under United Nations Security Council Resolution 1244/99),Pigmeat,Slaughterings,Thousand heads (animals),:,
2012,Kosovo (under United Nations Security Council Resolution 1244/99),Meat of sheep and goats,Slaughterings,Thousand tonnes,:,
2012,Kosovo (under United Nations Security Council Resolution 1244/99),Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,
,,,,,,
,,,,,,
2012,Kosovo (under United Nations Security Council Resolution 1244/99),Poultry meat,Slaughterings,Thousand tonnes,:,
2012,Kosovo (under United Nations Security Council Resolution 1244/99),Poultry meat,Slaughterings,Thousand heads (animals),:,
2012,Kosovo (under United Nations Security Council Resolution 1244/99),Meat of rabbits,Slaughterings,Thousand tonnes,:,
2012,Kosovo (under United Nations Security Council Resolution 1244/99),Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2013,European Union - 27 countries (from 2020),Bovine meat,Slaughterings,Thousand tonnes,6 420.31,
2013,European Union - 27 countries (from 2020),Bovine meat,Slaughterings,Thousand heads (animals),22 620.27,
2013,European Union - 27 countries (from 2020),Pigmeat,Slaughterings,Thousand tonnes,21 321.03,
2013,European Union - 27 countries (from 2020),Pigmeat,Slaughterings,Thousand heads (animals),236 252.66,
2013,European Union - 27 countries (from 2020),Meat of sheep and goats,Slaughterings,Thousand tonnes,:,c
2013,European Union - 27 countries (from 2020),Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,c
,,,,,,
,,,,,,
2013,European Union - 27 countries (from 2020),Poultry meat,Slaughterings,Thousand tonnes,:,c
2013,European Union - 27 countries (from 2020),Poultry meat,Slaughterings,Thousand heads (animals),:,c
2013,European Union - 27 countries (from 2020),Meat of rabbits,Slaughterings,Thousand tonnes,:,
2013,European Union - 27 countries (from 2020),Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2013,European Union - 28 countries (2013-2020),Bovine meat,Slaughterings,Thousand tonnes,7 267.97,
2013,European Union - 28 countries (2013-2020),Bovine meat,Slaughterings,Thousand heads (animals),25 248.92,
2013,European Union - 28 countries (2013-2020),Pigmeat,Slaughterings,Thousand tonnes,22 153.95,
2013,European Union - 28 countries (2013-2020),Pigmeat,Slaughterings,Thousand heads (animals),246 551.50,
2013,European Union - 28 countries (2013-2020),Meat of sheep and goats,Slaughterings,Thousand tonnes,:,c
2013,European Union - 28 countries (2013-2020),Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,c
,,,,,,
,,,,,,
2013,European Union - 28 countries (2013-2020),Poultry meat,Slaughterings,Thousand tonnes,:,c
2013,European Union - 28 countries (2013-2020),Poultry meat,Slaughterings,Thousand heads (animals),:,c
2013,European Union - 28 countries (2013-2020),Meat of rabbits,Slaughterings,Thousand tonnes,:,
2013,European Union - 28 countries (2013-2020),Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2013,European Union - 27 countries (2007-2013),Bovine meat,Slaughterings,Thousand tonnes,7 220.70,
2013,European Union - 27 countries (2007-2013),Bovine meat,Slaughterings,Thousand heads (animals),25 040.72,
2013,European Union - 27 countries (2007-2013),Pigmeat,Slaughterings,Thousand tonnes,22 074.15,
2013,European Union - 27 countries (2007-2013),Pigmeat,Slaughterings,Thousand heads (animals),245 448.70,
2013,European Union - 27 countries (2007-2013),Meat of sheep and goats,Slaughterings,Thousand tonnes,:,c
2013,European Union - 27 countries (2007-2013),Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,c
,,,,,,
,,,,,,
2013,European Union - 27 countries (2007-2013),Poultry meat,Slaughterings,Thousand tonnes,:,c
2013,European Union - 27 countries (2007-2013),Poultry meat,Slaughterings,Thousand heads (animals),:,c
2013,European Union - 27 countries (2007-2013),Meat of rabbits,Slaughterings,Thousand tonnes,:,
2013,European Union - 27 countries (2007-2013),Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2013,European Union - 25 countries (2004-2006),Bovine meat,Slaughterings,Thousand tonnes,7 185.73,
2013,European Union - 25 countries (2004-2006),Bovine meat,Slaughterings,Thousand heads (animals),24 875.75,
2013,European Union - 25 countries (2004-2006),Pigmeat,Slaughterings,Thousand tonnes,21 713.64,
2013,European Union - 25 countries (2004-2006),Pigmeat,Slaughterings,Thousand heads (animals),240 898.49,
2013,European Union - 25 countries (2004-2006),Meat of sheep and goats,Slaughterings,Thousand tonnes,:,c
2013,European Union - 25 countries (2004-2006),Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,c
,,,,,,
,,,,,,
2013,European Union - 25 countries (2004-2006),Poultry meat,Slaughterings,Thousand tonnes,:,c
2013,European Union - 25 countries (2004-2006),Poultry meat,Slaughterings,Thousand heads (animals),:,c
2013,European Union - 25 countries (2004-2006),Meat of rabbits,Slaughterings,Thousand tonnes,:,
2013,European Union - 25 countries (2004-2006),Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2013,European Union - 15 countries (1995-2004),Bovine meat,Slaughterings,Thousand tonnes,6 651.60,
2013,European Union - 15 countries (1995-2004),Bovine meat,Slaughterings,Thousand heads (animals),22 861.36,
2013,European Union - 15 countries (1995-2004),Pigmeat,Slaughterings,Thousand tonnes,19 202.31,
2013,European Union - 15 countries (1995-2004),Pigmeat,Slaughterings,Thousand heads (animals),212 229.31,
2013,European Union - 15 countries (1995-2004),Meat of sheep and goats,Slaughterings,Thousand tonnes,:,c
2013,European Union - 15 countries (1995-2004),Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,c
,,,,,,
,,,,,,
2013,European Union - 15 countries (1995-2004),Poultry meat,Slaughterings,Thousand tonnes,:,c
2013,European Union - 15 countries (1995-2004),Poultry meat,Slaughterings,Thousand heads (animals),:,c
2013,European Union - 15 countries (1995-2004),Meat of rabbits,Slaughterings,Thousand tonnes,:,
2013,European Union - 15 countries (1995-2004),Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2013,Belgium,Bovine meat,Slaughterings,Thousand tonnes,249.91,
2013,Belgium,Bovine meat,Slaughterings,Thousand heads (animals),806.18,
2013,Belgium,Pigmeat,Slaughterings,Thousand tonnes,1 130.57,
2013,Belgium,Pigmeat,Slaughterings,Thousand heads (animals),11 915.00,
2013,Belgium,Meat of sheep and goats,Slaughterings,Thousand tonnes,2.41,
2013,Belgium,Meat of sheep and goats,Slaughterings,Thousand heads (animals),127.75,
,,,,,,
,,,,,,
2013,Belgium,Poultry meat,Slaughterings,Thousand tonnes,388.09,
2013,Belgium,Poultry meat,Slaughterings,Thousand heads (animals),291 593.47,
2013,Belgium,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2013,Belgium,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2013,Bulgaria,Bovine meat,Slaughterings,Thousand tonnes,5.68,
2013,Bulgaria,Bovine meat,Slaughterings,Thousand heads (animals),25.57,
2013,Bulgaria,Pigmeat,Slaughterings,Thousand tonnes,52.06,
2013,Bulgaria,Pigmeat,Slaughterings,Thousand heads (animals),797.14,
2013,Bulgaria,Meat of sheep and goats,Slaughterings,Thousand tonnes,:,c
2013,Bulgaria,Meat of sheep and goats,Slaughterings,Thousand heads (animals),:,c
,,,,,,
,,,,,,
2013,Bulgaria,Poultry meat,Slaughterings,Thousand tonnes,94.71,
2013,Bulgaria,Poultry meat,Slaughterings,Thousand heads (animals),50 338.27,
2013,Bulgaria,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2013,Bulgaria,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2013,Czechia,Bovine meat,Slaughterings,Thousand tonnes,64.83,
2013,Czechia,Bovine meat,Slaughterings,Thousand heads (animals),221.21,
2013,Czechia,Pigmeat,Slaughterings,Thousand tonnes,234.27,
2013,Czechia,Pigmeat,Slaughterings,Thousand heads (animals),2 651.69,
2013,Czechia,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.18,
2013,Czechia,Meat of sheep and goats,Slaughterings,Thousand heads (animals),11.77,
,,,,,,
,,,,,,
2013,Czechia,Poultry meat,Slaughterings,Thousand tonnes,148.17,
2013,Czechia,Poultry meat,Slaughterings,Thousand heads (animals),104 767.01,e
2013,Czechia,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2013,Czechia,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2013,Denmark,Bovine meat,Slaughterings,Thousand tonnes,125.2,
2013,Denmark,Bovine meat,Slaughterings,Thousand heads (animals),489.5,
2013,Denmark,Pigmeat,Slaughterings,Thousand tonnes,1 589.40,
2013,Denmark,Pigmeat,Slaughterings,Thousand heads (animals),19 107.80,
2013,Denmark,Meat of sheep and goats,Slaughterings,Thousand tonnes,1.6,
2013,Denmark,Meat of sheep and goats,Slaughterings,Thousand heads (animals),75.1,
,,,,,,
,,,,,,
2013,Denmark,Poultry meat,Slaughterings,Thousand tonnes,148.5,
2013,Denmark,Poultry meat,Slaughterings,Thousand heads (animals),107 152.30,
2013,Denmark,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2013,Denmark,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2013,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,1 106.00,
2013,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),3 480.00,
2013,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,5 474.00,
2013,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),58 628.00,
2013,Germany (until 1990 former territory of the FRG),Meat of sheep and goats,Slaughterings,Thousand tonnes,20,
2013,Germany (until 1990 former territory of the FRG),Meat of sheep and goats,Slaughterings,Thousand heads (animals),1 020.00,
,,,,,,
,,,,,,
2013,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,1 456.00,
2013,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),701 823.00,
2013,Germany (until 1990 former territory of the FRG),Meat of rabbits,Slaughterings,Thousand tonnes,:,
2013,Germany (until 1990 former territory of the FRG),Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2013,Estonia,Bovine meat,Slaughterings,Thousand tonnes,7.88,
2013,Estonia,Bovine meat,Slaughterings,Thousand heads (animals),34.68,
2013,Estonia,Pigmeat,Slaughterings,Thousand tonnes,36.9,
2013,Estonia,Pigmeat,Slaughterings,Thousand heads (animals),464.13,
2013,Estonia,Meat of sheep and goats,Slaughterings,Thousand tonnes,0.11,
2013,Estonia,Meat of sheep and goats,Slaughterings,Thousand heads (animals),6.23,
,,,,,,
,,,,,,
2013,Estonia,Poultry meat,Slaughterings,Thousand tonnes,:,c
2013,Estonia,Poultry meat,Slaughterings,Thousand heads (animals),:,c
2013,Estonia,Meat of rabbits,Slaughterings,Thousand tonnes,:,
2013,Estonia,Meat of rabbits,Slaughterings,Thousand heads (animals),:,
2013,Ireland,Bovine meat,Slaughterings,Thousand tonnes,517.57,
